simulation_time	physical_time	Enedis.weighed_curtailment_rate_consumption	Enedis.weighed_curtailment_rate_production	general_aggregator.weighed_curtailment_rate_consumption	general_aggregator.weighed_curtailment_rate_production	Local_DHN.weighed_curtailment_rate_consumption	Local_DHN.weighed_curtailment_rate_production	gas_aggregator.weighed_curtailment_rate_consumption	gas_aggregator.weighed_curtailment_rate_production	
0	2019-01-01 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
1	2019-01-01 02:00:00	None	0.0	1.7531898638700755e-16	0.0	0.0	0.0	None	1.0	
2	2019-01-01 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
3	2019-01-01 06:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
4	2019-01-01 08:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
5	2019-01-01 10:00:00	None	0.0	0.0	1.4418772520113885e-16	0.0	1.466825366993585e-16	None	1.0	
6	2019-01-01 12:00:00	None	0.0	1.6998475168056517e-16	0.0	None	0.0	None	1.0	
7	2019-01-01 14:00:00	None	0.0	1.8683605165129028e-16	1.4379039550747653e-16	None	1.4666904902968718e-16	None	1.0	
8	2019-01-01 16:00:00	None	0.0	1.5906013145435017e-16	0.0	0.0	0.0	None	1.0	
9	2019-01-01 18:00:00	None	0.0	1.888600099887541e-16	0.0	0.0	0.0	None	1.0	
10	2019-01-01 20:00:00	None	0.0	1.228576508438782e-16	0.0	0.0	0.0	None	1.0	
11	2019-01-01 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
12	2019-01-02 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
13	2019-01-02 02:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
14	2019-01-02 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
15	2019-01-02 06:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
16	2019-01-02 08:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
17	2019-01-02 10:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
18	2019-01-02 12:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
19	2019-01-02 14:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
20	2019-01-02 16:00:00	None	0.0	1.5455498245578095e-16	0.0	0.0	0.0	None	1.0	
21	2019-01-02 18:00:00	None	0.0	0.0	1.4384930067013242e-16	0.0	1.4669269383434326e-16	None	1.0	
22	2019-01-02 20:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
23	2019-01-02 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
24	2019-01-03 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
25	2019-01-03 02:00:00	None	0.0	1.7531898638700755e-16	0.0	0.0	0.0	None	1.0	
26	2019-01-03 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
27	2019-01-03 06:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
28	2019-01-03 08:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
29	2019-01-03 10:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
30	2019-01-03 12:00:00	None	0.0	0.0	1.4085751181545492e-16	None	1.4666789852027693e-16	None	1.0	
31	2019-01-03 14:00:00	None	0.0	1.8683605165129028e-16	0.0	None	0.0	None	1.0	
32	2019-01-03 16:00:00	None	0.0	1.8238884404778126e-16	0.0	0.0	0.0	None	1.0	
33	2019-01-03 18:00:00	None	0.0	1.888600099887541e-16	1.4442820643130737e-16	0.0	1.4669269383434326e-16	None	1.0	
34	2019-01-03 20:00:00	None	0.0	1.228576508438782e-16	0.0	0.0	0.0	None	1.0	
35	2019-01-03 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
36	2019-01-04 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
37	2019-01-04 02:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.8	
38	2019-01-04 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
39	2019-01-04 06:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
40	2019-01-04 08:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
41	2019-01-04 10:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
42	2019-01-04 12:00:00	None	0.0	1.4724775662501517e-16	1.3924188801269084e-16	None	1.466670769682921e-16	None	1.0	
43	2019-01-04 14:00:00	None	0.0	0.0	0.0	None	1.4666703099844398e-16	None	1.0	
44	2019-01-04 16:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
45	2019-01-04 18:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
46	2019-01-04 20:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
47	2019-01-04 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
48	2019-01-05 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
49	2019-01-05 02:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
50	2019-01-05 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.2	
51	2019-01-05 06:00:00	None	0.0	0.0	0.0	0.0	1.4669269383434326e-16	None	1.0	
52	2019-01-05 08:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
53	2019-01-05 10:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
54	2019-01-05 12:00:00	None	0.0	1.4724775662501517e-16	0.0	None	0.0	None	1.0	
55	2019-01-05 14:00:00	None	0.0	0.0	1.395347233974413e-16	None	1.4666937135795689e-16	None	1.0	
56	2019-01-05 16:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
57	2019-01-05 18:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
58	2019-01-05 20:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
59	2019-01-05 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
60	2019-01-06 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
61	2019-01-06 02:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
62	2019-01-06 04:00:00	None	0.0	0.0	1.1253145845577316e-16	0.0	0.0	None	0.20000000000000037	
63	2019-01-06 06:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
64	2019-01-06 08:00:00	None	0.0	0.0	1.4024704140601223e-16	0.0	1.4669269383434326e-16	None	1.0	
65	2019-01-06 10:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
66	2019-01-06 12:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
67	2019-01-06 14:00:00	None	0.0	1.8683605165129028e-16	0.0	None	0.0	None	1.0	
68	2019-01-06 16:00:00	None	0.0	1.335057931327383e-16	0.0	0.0	0.0	None	1.0	
69	2019-01-06 18:00:00	None	0.0	1.888600099887541e-16	0.0	0.0	0.0	None	1.0	
70	2019-01-06 20:00:00	None	0.0	1.228576508438782e-16	0.0	0.0	0.0	None	1.0	
71	2019-01-06 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
72	2019-01-07 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
73	2019-01-07 02:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
74	2019-01-07 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.2	
75	2019-01-07 06:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
76	2019-01-07 08:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
77	2019-01-07 10:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
78	2019-01-07 12:00:00	None	0.0	1.4724775662501517e-16	0.0	None	0.0	None	1.0	
79	2019-01-07 14:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
80	2019-01-07 16:00:00	None	0.0	0.0	1.4025674279767287e-16	0.0	1.4668394904152574e-16	None	1.0	
81	2019-01-07 18:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
82	2019-01-07 20:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
83	2019-01-07 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
84	2019-01-08 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
85	2019-01-08 02:00:00	None	0.0	0.0	6.128425845835142e-17	0.0	0.0	None	0.0	
86	2019-01-08 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.2	
87	2019-01-08 06:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
88	2019-01-08 08:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
89	2019-01-08 10:00:00	None	0.0	0.0	1.386089561470484e-16	0.0	1.4668288913373796e-16	None	1.0	
90	2019-01-08 12:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
91	2019-01-08 14:00:00	None	0.0	1.8683605165129028e-16	0.0	None	0.0	None	1.0	
92	2019-01-08 16:00:00	None	0.0	1.6374378597787144e-16	0.0	0.0	0.0	None	1.0	
93	2019-01-08 18:00:00	None	0.0	1.888600099887541e-16	0.0	0.0	0.0	None	1.0	
94	2019-01-08 20:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
95	2019-01-08 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
96	2019-01-09 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
97	2019-01-09 02:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
98	2019-01-09 04:00:00	None	0.0	0.0	1.1230631408378632e-16	0.0	0.0	None	0.20000000000000037	
99	2019-01-09 06:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
100	2019-01-09 08:00:00	None	0.0	0.0	1.4109405529182115e-16	0.0	1.4669269383434326e-16	None	1.0	
101	2019-01-09 10:00:00	None	0.0	0.0	1.4106620079452213e-16	0.0	1.4668261022973313e-16	None	1.0	
102	2019-01-09 12:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
103	2019-01-09 14:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
104	2019-01-09 16:00:00	None	0.0	1.5250234699729855e-16	1.4118834934324826e-16	0.0	1.466824886948682e-16	None	1.0	
105	2019-01-09 18:00:00	None	0.0	0.0	1.411945972812721e-16	0.0	1.4669269383434326e-16	None	1.0	
106	2019-01-09 20:00:00	None	0.0	1.8221283610327997e-16	0.0	0.0	0.0	None	1.0	
107	2019-01-09 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
108	2019-01-10 00:00:00	None	0.0	0.0	5.104611800277089e-17	0.0	0.0	None	0.0	
109	2019-01-10 02:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
110	2019-01-10 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.2	
111	2019-01-10 06:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
112	2019-01-10 08:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
113	2019-01-10 10:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
114	2019-01-10 12:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
115	2019-01-10 14:00:00	None	0.0	1.8683605165129028e-16	1.4068075851656463e-16	None	1.4666688941307118e-16	None	1.0	
116	2019-01-10 16:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
117	2019-01-10 18:00:00	None	0.0	1.888600099887541e-16	1.4128835818641605e-16	0.0	1.4669269383434326e-16	None	1.0	
118	2019-01-10 20:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
119	2019-01-10 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
120	2019-01-11 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
121	2019-01-11 02:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
122	2019-01-11 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.2	
123	2019-01-11 06:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
124	2019-01-11 08:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
125	2019-01-11 10:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
126	2019-01-11 12:00:00	None	0.0	0.0	1.327833022087217e-16	None	1.4666680969010741e-16	None	1.0	
127	2019-01-11 14:00:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
128	2019-01-11 16:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
129	2019-01-11 18:00:00	None	0.0	0.0	1.3598404361228604e-16	0.0	1.4669269383434326e-16	None	1.0	
130	2019-01-11 20:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
131	2019-01-11 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
132	2019-01-12 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
133	2019-01-12 02:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
134	2019-01-12 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.2	
135	2019-01-12 06:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
136	2019-01-12 08:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
137	2019-01-12 10:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
138	2019-01-12 12:00:00	None	0.0	1.5770594671142695e-16	0.0	None	1.4666410718398693e-16	None	1.0	
139	2019-01-12 14:00:00	None	0.0	0.0	1.3596617050072413e-16	None	1.4666501510822872e-16	None	1.0	
140	2019-01-12 16:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
141	2019-01-12 18:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
142	2019-01-12 20:00:00	None	0.0	1.8221283610327997e-16	0.0	0.0	0.0	None	1.0	
143	2019-01-12 22:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
144	2019-01-13 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
145	2019-01-13 02:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.0	
146	2019-01-13 04:00:00	None	0.0	0.0	0.0	0.0	0.0	None	0.2	
147	2019-01-13 06:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
148	2019-01-13 08:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
149	2019-01-13 10:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
