simulation_time	physical_time	dummy_complete_profile_0_ElectricDam_0.energy	dummy_complete_profile_0_ElectricDam_0.money	
0	2019-01-01 00:00:00	-90.28069581960001	0.2	
1	2019-01-01 02:00:00	-91.19262204000002	0.155	
2	2019-01-01 04:00:00	-96.6641793624	0.0855	
3	2019-01-01 06:00:00	-108.9751833378	0.0669	
4	2019-01-01 08:00:00	-113.99077755	0.1524	
5	2019-01-01 10:00:00	-98.48803180320003	0.1332	
6	2019-01-01 12:00:00	-87.54491715840003	0.1441	
7	2019-01-01 14:00:00	-93.01647448080001	0.1214	
8	2019-01-01 16:00:00	-82.9852860564	0.1166	
9	2019-01-01 18:00:00	-78.42565495440003	0.179	
10	2019-01-01 20:00:00	-74.32198696260001	0.2157	
11	2019-01-01 22:00:00	-83.89721227679999	0.2281	
12	2019-01-02 00:00:00	-85.72106471760002	0.2	
13	2019-01-02 02:00:00	-78.42565495440003	0.155	
14	2019-01-02 04:00:00	-77.96969184420003	0.0855	
15	2019-01-02 06:00:00	-78.42565495440003	0.0669	
16	2019-01-02 08:00:00	-88.45684337880002	0.1524	
17	2019-01-02 10:00:00	-101.22381046440002	0.1332	
18	2019-01-02 12:00:00	-114.90270377040001	0.1441	
19	2019-01-02 14:00:00	-108.9751833378	0.1214	
20	2019-01-02 16:00:00	-95.75225314200003	0.1166	
21	2019-01-02 18:00:00	-101.67977357460002	0.179	
22	2019-01-02 20:00:00	-107.15133089700004	0.2157	
23	2019-01-02 22:00:00	-108.51922022760002	0.2281	
24	2019-01-03 00:00:00	-97.57610558280001	0.2	
25	2019-01-03 02:00:00	-88.91280648900002	0.155	
26	2019-01-03 04:00:00	-91.64858515020002	0.0855	
27	2019-01-03 06:00:00	-85.72106471760002	0.0669	
28	2019-01-03 08:00:00	-113.99077755	0.1524	
29	2019-01-03 10:00:00	-106.6953677868	0.1332	
30	2019-01-03 12:00:00	-96.6641793624	0.1441	
31	2019-01-03 14:00:00	-98.03206869300001	0.1214	
32	2019-01-03 16:00:00	-92.5605113706	0.1166	
33	2019-01-03 18:00:00	-92.10454826040001	0.179	
34	2019-01-03 20:00:00	-88.45684337880002	0.2157	
35	2019-01-03 22:00:00	-94.84032692160001	0.2281	
36	2019-01-04 00:00:00	-151.8357156966	0.2	
37	2019-01-04 02:00:00	-169.61827699440005	0.155	
38	2019-01-04 04:00:00	-155.93938368840006	0.0855	
39	2019-01-04 06:00:00	-217.9503666756	0.0669	
40	2019-01-04 08:00:00	-224.33385021840002	0.1524	
41	2019-01-04 10:00:00	-235.27696486320005	0.1332	
42	2019-01-04 12:00:00	-280.87327588320005	0.1441	
43	2019-01-04 14:00:00	-329.20536556440004	0.1214	
44	2019-01-04 16:00:00	-322.36591891140006	0.1166	
45	2019-01-04 18:00:00	-321.453992691	0.179	
46	2019-01-04 20:00:00	-310.9668411564001	0.2157	
47	2019-01-04 22:00:00	-301.84757895240006	0.2281	
48	2019-01-05 00:00:00	-296.37602163	0.2	
49	2019-01-05 02:00:00	-309.1429887156	0.155	
50	2019-01-05 04:00:00	-329.66132867460004	0.0855	
51	2019-01-05 06:00:00	-316.894361589	0.0669	
52	2019-01-05 08:00:00	-296.8319847402	0.1524	
53	2019-01-05 10:00:00	-310.51087804620005	0.1332	
54	2019-01-05 12:00:00	-296.37602163	0.1441	
55	2019-01-05 14:00:00	-273.57786612	0.1214	
56	2019-01-05 16:00:00	-272.20997678940006	0.1166	
57	2019-01-05 18:00:00	-277.22557100160003	0.179	
58	2019-01-05 20:00:00	-300.4796896218001	0.2157	
59	2019-01-05 22:00:00	-286.3448332056	0.2281	
60	2019-01-06 00:00:00	-258.98704659360004	0.2	
61	2019-01-06 02:00:00	-246.67604261820006	0.155	
62	2019-01-06 04:00:00	-252.60356305080003	0.0855	
63	2019-01-06 06:00:00	-282.69712832400006	0.0669	
64	2019-01-06 08:00:00	-271.7540136792	0.1524	
65	2019-01-06 10:00:00	-308.68702560540004	0.1332	
66	2019-01-06 12:00:00	-332.3971073358001	0.1441	
67	2019-01-06 14:00:00	-407.1750574086001	0.1214	
68	2019-01-06 16:00:00	-469.64200350600004	0.1166	
69	2019-01-06 18:00:00	-469.64200350600004	0.179	
70	2019-01-06 20:00:00	-419.0300982738001	0.2157	
71	2019-01-06 22:00:00	-364.77048816000007	0.2281	
72	2019-01-07 00:00:00	-328.7494024542001	0.2	
73	2019-01-07 02:00:00	-369.78608237220004	0.155	
74	2019-01-07 04:00:00	-342.42829576020006	0.0855	
75	2019-01-07 06:00:00	-326.0136237930001	0.0669	
76	2019-01-07 08:00:00	-291.3604274178	0.1524	
77	2019-01-07 10:00:00	-272.20997678940006	0.1332	
78	2019-01-07 12:00:00	-280.87327588320005	0.1441	
79	2019-01-07 14:00:00	-265.3705301364	0.1214	
80	2019-01-07 16:00:00	-274.03382923020007	0.1166	
81	2019-01-07 18:00:00	-269.47419812820004	0.179	
82	2019-01-07 20:00:00	-275.857681671	0.2157	
83	2019-01-07 22:00:00	-294.09620607900007	0.2281	
84	2019-01-08 00:00:00	-308.68702560540004	0.2	
85	2019-01-08 02:00:00	-292.27235363820006	0.155	
86	2019-01-08 04:00:00	-302.75950517280006	0.0855	
87	2019-01-08 06:00:00	-296.8319847402	0.0669	
88	2019-01-08 08:00:00	-282.69712832400006	0.1524	
89	2019-01-08 10:00:00	-271.29805056900005	0.1332	
90	2019-01-08 12:00:00	-255.33934171200002	0.1441	
91	2019-01-08 14:00:00	-241.66044840600003	0.1214	
92	2019-01-08 16:00:00	-237.55678041420003	0.1166	
93	2019-01-08 18:00:00	-243.940263957	0.179	
94	2019-01-08 20:00:00	-254.42741549160004	0.2157	
95	2019-01-08 22:00:00	-242.1164115162	0.2281	
96	2019-01-09 00:00:00	-229.34944443060002	0.2	
97	2019-01-09 02:00:00	-224.7898133286	0.155	
98	2019-01-09 04:00:00	-298.1998740708001	0.0855	
99	2019-01-09 06:00:00	-260.35493592420005	0.0669	
100	2019-01-09 08:00:00	-250.32374749980002	0.1524	
101	2019-01-09 10:00:00	-246.22007950800005	0.1332	
102	2019-01-09 12:00:00	-245.7641163978	0.1441	
103	2019-01-09 14:00:00	-252.1475999406	0.1214	
104	2019-01-09 16:00:00	-248.04393194880006	0.1166	
105	2019-01-09 18:00:00	-243.02833773660004	0.179	
106	2019-01-09 20:00:00	-239.83659596520005	0.2157	
107	2019-01-09 22:00:00	-234.36503864280002	0.2281	
108	2019-01-10 00:00:00	-225.70173954900005	0.2	
109	2019-01-10 02:00:00	-210.65495691240005	0.155	
110	2019-01-10 04:00:00	-232.54118620200003	0.0855	
111	2019-01-10 06:00:00	-239.83659596520005	0.0669	
112	2019-01-10 08:00:00	-221.14210844700003	0.1524	
113	2019-01-10 10:00:00	-209.28706758180002	0.1332	
114	2019-01-10 12:00:00	-201.9916578186	0.1441	
115	2019-01-10 14:00:00	-187.85680140240004	0.1214	
116	2019-01-10 16:00:00	-180.56139163920002	0.1166	
117	2019-01-10 18:00:00	-191.96046939420006	0.179	
118	2019-01-10 20:00:00	-200.16780537780002	0.2157	
119	2019-01-10 22:00:00	-204.72743647980002	0.2281	
120	2019-01-11 00:00:00	-202.44762092880003	0.2	
121	2019-01-11 02:00:00	-199.25587915740005	0.155	
122	2019-01-11 04:00:00	-203.35954714920004	0.0855	
123	2019-01-11 06:00:00	-214.30266179400007	0.0669	
124	2019-01-11 08:00:00	-218.4063297858	0.1524	
125	2019-01-11 10:00:00	-219.31825600620002	0.1332	
126	2019-01-11 12:00:00	-217.9503666756	0.1441	
127	2019-01-11 14:00:00	-236.64485419380006	0.1214	
128	2019-01-11 16:00:00	-294.09620607900007	0.1166	
129	2019-01-11 18:00:00	-298.1998740708001	0.179	
130	2019-01-11 20:00:00	-289.99253808720005	0.2157	
131	2019-01-11 22:00:00	-280.41731277300005	0.2281	
132	2019-01-12 00:00:00	-264.458603916	0.2	
133	2019-01-12 02:00:00	-267.19438257720003	0.155	
134	2019-01-12 04:00:00	-270.3861243486	0.0855	
135	2019-01-12 06:00:00	-262.63475147520006	0.0669	
136	2019-01-12 08:00:00	-255.79530482220005	0.1524	
137	2019-01-12 10:00:00	-266.2824563568	0.1332	
138	2019-01-12 12:00:00	-289.08061186680004	0.1441	
139	2019-01-12 14:00:00	-310.054914936	0.1214	
140	2019-01-12 16:00:00	-314.61454603800007	0.1166	
141	2019-01-12 18:00:00	-334.6769228868	0.179	
142	2019-01-12 20:00:00	-326.0136237930001	0.2157	
143	2019-01-12 22:00:00	-311.8787673768001	0.2281	
144	2019-01-13 00:00:00	-293.18427985860006	0.2	
145	2019-01-13 02:00:00	-295.9200585198001	0.155	
146	2019-01-13 04:00:00	-316.4383984788001	0.0855	
147	2019-01-13 06:00:00	-308.68702560540004	0.0669	
148	2019-01-13 08:00:00	-307.77509938500003	0.1524	
