simulation_time	physical_time	district_heating_grid.energy_sold_inside	district_heating_grid.energy_sold_outside	district_heating_grid.energy_bought_inside	district_heating_grid.energy_bought_outside	district_heating_grid.energy_erased_consumption	district_heating_grid.energy_erased_production	district_heating_grid.money_spent_inside	district_heating_grid.money_spent_outside	district_heating_grid.money_earned_inside	district_heating_grid.money_earned_outside	
11	2018-01-01 11:00:00	1128.713333038592	0	1128.713333038592	0	0.0	1037.286666961408	251.79791436945877	0	488.5794675917973	0	
12	2018-01-01 12:00:00	1065.4990603806696	0	1065.4990603806696	0	0.0	1100.5009396193304	286.88783564820244	0	640.6842799232006	0	
13	2018-01-01 13:00:00	997.0169316679203	0	997.0169316679203	0	0.0	1168.9830683320797	268.448880216404	0	600.2345795202452	0	
14	2018-01-01 14:00:00	970.6776513937859	0	970.6776513937859	0	0.0	1195.322348606214	261.356974281097	0	584.6770024421854	0	
15	2018-01-01 15:00:00	965.4097953389589	0	965.4097953389589	0	0.0	1200.590204661041	259.93859309403547	0	581.5654870265734	0	
16	2018-01-01 16:00:00	1023.3562119420546	0	1023.3562119420546	0	0.0	1142.6437880579454	275.54078615171113	0	615.7921565983049	0	
17	2018-01-01 17:00:00	1269.5533092132769	0	1269.5533092132769	0	0.0	896.4466907867231	341.8298660818019	0	749.875215162482	0	
18	2018-01-01 18:00:00	1210.2147553045402	0	1210.2147553045402	0	0.0	955.7852446954598	325.85283716233045	0	703.4903796211655	0	
19	2018-01-01 19:00:00	1341.911156675212	0	1341.9111566752117	0	0.0	824.0888433247883	361.3123668388659	0	781.2782650114643	0	
20	2018-01-01 20:00:00	1426.1968535524418	0	1426.1968535524418	0	0.0	739.8031464475582	384.0064658318486	0	831.0625116612557	0	
21	2018-01-01 21:00:00	1526.2861185941524	0	1526.2861185941524	0	0.0	639.7138814058476	410.95570838601554	0	890.1813045578829	0	
22	2018-01-01 22:00:00	1631.64323969069	0	1631.64323969069	0	0.0	534.35676030931	439.323332127244	0	952.4116128701221	0	
23	2018-01-01 23:00:00	1554.017536173928	0	1554.017536173928	0	0.0	611.982463826072	418.42245018311854	0	917.8970476055277	0	
24	2018-01-02 00:00:00	1633.0353769963308	0	1633.0353769963308	0	0.0	532.9646230036692	364.3041062625241	0	717.8162949371377	0	
25	2018-01-02 01:00:00	1690.9817935994265	0	1690.9817935994265	0	0.0	475.0182064005735	377.23102616216204	0	743.2871957252298	0	
26	2018-01-02 02:00:00	1664.6425133252924	0	1664.6425133252924	0	0.0	501.3574866747076	371.3551534805085	0	731.7095135488244	0	
27	2018-01-02 03:00:00	1569.8211043384085	0	1569.8211043384085	0	0.0	596.1788956615915	350.20201182655535	0	690.0298577137647	0	
28	2018-01-02 04:00:00	1543.4818240642742	0	1543.4818240642744	0	0.0	622.5181759357256	344.32613914490184	0	678.4521755373593	0	
29	2018-01-02 05:00:00	1548.749680119101	0	1548.749680119101	0	0.0	617.250319880899	345.50131368123255	0	680.7677119726403	0	
30	2018-01-02 06:00:00	1673.786088129305	0	1673.786088129305	0	0.0	492.21391187069503	373.3949389584858	0	743.2859159777422	0	
31	2018-01-02 07:00:00	1737.0003607872275	0	1737.0003607872272	0	0.0	428.99963921277276	387.49703339445443	0	771.0723532011154	0	
