time;load
1;1395.9818545291216
2;1385.4461424194678
3;1406.5175666387754
4;1448.6604150773906
5;1417.053278748429
6;1401.2497105839486
7;1494.6789822651913
8;1457.8039898814031
9;1611.9639527770237
10;1418.4454160540702
11;1302.552582847879
12;1304.3068462297065
13;963.3470642422324
14;877.7444033512957
15;838.2354829400938
16;871.159583282762
17;950.1774241051653
18;1322.321134803256
19;1255.9604614578648
20;1374.4872226914697
21;1486.4291638565408
22;1552.2773645418765
23;1644.464845501347
24;1573.7719963795284
