time;Conso_min
0;1100,981915
1;1111,517628
2;1137,856908
3;1127,321196
4;1074,642635
5;1100,981915
6;1252,357604
7;1257,62546
8;1474,999695
9;1307,820439
10;1191,927606
11;1128,713333
12;1065,49906
13;997,0169317
14;970,6776514
15;965,4097953
16;1023,356212
17;1269,553309
18;1210,214755
19;1341,911157
20;1426,196854
21;1526,286119
22;1631,64324
23;1554,017536
24;1633,035377
25;1690,981794
26;1664,642513
27;1569,821104
28;1543,481824
29;1548,74968
30;1673,786088
31;1737,000361
32;1970,178165
33;1755,588204
34;1439,51684
35;1155,052613
36;1049,695492
37;960,1419393
38;902,1955227
39;881,1240985
40;881,1240985
41;1021,964075
42;841,4648315
43;830,9291194
44;836,1969754
45;825,6612633
46;799,321983
47;684,8212871
48;690,0891432
49;669,017719
50;653,2141508
51;658,4820069
52;663,7498629
53;690,0891432
54;857,2683996
55;857,2683996
56;1032,499787
57;902,1955227
58;865,3205303
59;823,1776819
60;775,7669774
61;749,4276971
62;749,4276971
63;723,0884168
64;717,8205608
65;874,4641051
66;725,5719983
67;767,7148467
68;788,7862709
69;788,7862709
70;794,054127
71;684,8212871
72;711,1605674
73;742,7677037
74;763,8391279
75;763,8391279
76;763,8391279
77;769,106984
78;899,4112481
79;904,6791041
80;1095,714059
81;965,4097953
82;939,0705151
83;881,1240985
84;807,3741137
85;765,2312653
86;796,8384016
87;812,6419697
88;802,1062576
89;958,749802
90;809,8576951
91;846,7326875
92;873,0719678
93;894,143392
94;915,2148162
95;795,4462643
96;790,1784082
97;795,4462643
98;816,5176885
99;858,6605369
100;884,9998172
101;890,2676733
102;1015,304081
103;1015,304081
104;1216,874749
105;1076,034772
106;1028,624068
107;986,4812196
108;949,6062272
109;954,8740832
110;991,7490756
111;1002,284788
112;997,0169317
113;1116,785484
114;883,6076799
115;820,3934072
116;783,5184149
117;741,3755664
118;693,9648619
119;532,0534615
120;479,374901
121;447,7677647
122;447,7677647
123;453,0356207
124;479,374901
125;500,4463252
126;636,0184453
127;651,8220135
128;662,3577256
129;651,8220135
130;620,2148772
131;599,1434529
132;588,6077408
133;567,5363166
134;557,0006045
135;562,2684606
136;572,8041727
137;583,3398848
138;583,3398848
139;588,6077408
140;604,411309
141;609,6791651
142;609,6791651
143;484,642757
144;474,1070449
145;447,7677647
146;410,8927723
147;400,3570602
148;426,6963404
149;489,9106131
150;704,500574
151;809,8576951
152;931,0183844
153;962,6255207
154;883,6076799
155;767,7148467
156;688,6970059
157;636,0184453
158;614,9470211
159;620,2148772
160;646,5541574
161;820,3934072
162;1025,839793
163;1173,339763
164;1257,62546
165;1283,96474
166;1362,982581
167;1327,499726
168;1395,981855
169;1385,446142
170;1406,517567
171;1448,660415
172;1417,053279
173;1401,249711
174;1494,678982
175;1457,80399
176;1611,963953
177;1418,445416
178;1302,552583
179;1123,445477
180;970,6776514
181;902,1955227
182;870,5883864
183;896,9276666
184;960,1419393
185;1137,856908
186;1004,768369
187;1099,589778
188;1189,143331
189;1241,821892
190;1315,571876
191;1259,017597
192;1269,553309
193;1222,142605
194;1153,660476
195;1079,910491
196;937,6783778
197;742,7677037
198;825,6612633
199;941,5540965
200;1190,535468
201;1086,570485
202;1181,391894
