simulation_time	physical_time	PV_field_1.LVE.energy	PV_field_1.LVE.money	PV_field_2.LVE.energy	PV_field_2.LVE.money	WT_field_1.LVE.energy	WT_field_1.LVE.money	WT_field_2.LVE.energy	WT_field_2.LVE.money	rigid_electricity_consumption.LVE.energy	rigid_electricity_consumption.LVE.money	
17	2021-01-01 17:00:00	0	0	0	0	-20.846821900052866	0.04	-20.846821900052866	0.04	21407.5985290384	0.18	
18	2021-01-01 18:00:00	0	0	0	0	-12.060825756213077	0.04	-12.060825756213077	0.04	23582.0081519988	0.18	
19	2021-01-01 19:00:00	0	0	0	0	-5.81391909156273	0.04	-5.81391909156273	0.04	28099.863747351003	0.18	
20	2021-01-01 20:00:00	0	0	0	0	-1.414524637537412	0.04	-1.414524637537412	0.04	31416.379653264798	0.18	
21	2021-01-01 21:00:00	0	0	0	0	0	0	0	0	30949.9885740326	0.2	
22	2021-01-01 22:00:00	0	0	0	0	0	0	0	0	28496.956007694	0.2	
23	2021-01-01 23:00:00	0	0	0	0	0	0	0	0	24942.103345099	0.2	
24	2021-01-02 00:00:00	0	0	0	0	0	0	0	0	19640.48314569646	0.2	
25	2021-01-02 01:00:00	0	0	0	0	0	0	0	0	18871.63363137834	0.2	
26	2021-01-02 02:00:00	0	0	0	0	0	0	0	0	17740.7001281419	0.2	
27	2021-01-02 03:00:00	0	0	0	0	0	0	0	0	16246.45070332156	0.2	
28	2021-01-02 04:00:00	0	0	0	0	0	0	0	0	14846.19217545928	0.2	
29	2021-01-02 05:00:00	0	0	0	0	0	0	0	0	13515.99387728542	0.18	
30	2021-01-02 06:00:00	0	0	0	0	0	0	0	0	14858.2059821202	0.18	
31	2021-01-02 07:00:00	0	0	0	0	0	0	0	0	17632.43413508192	0.18	
32	2021-01-02 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	0	0	0	0	17800.3166577494	0.18	
33	2021-01-02 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	0	0	0	0	13495.66617178466	0.2	
34	2021-01-02 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	0	0	0	0	11558.30555130022	0.2	
35	2021-01-02 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	0	0	0	0	9610.33745342862	0.2	
36	2021-01-02 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	0	0	0	0	8623.68769127276	0.2	
37	2021-01-02 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	0	0	0	0	11795.675246664521	0.2	
38	2021-01-02 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	0	0	0	0	13721.636166284821	0.2	
39	2021-01-02 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	0	0	0	0	15412.47154697702	0.2	
40	2021-01-02 16:00:00	-523.2032336	0.06	-523.2032336	0.06	0	0	0	0	19613.95558594424	0.2	
41	2021-01-02 17:00:00	0	0	0	0	0	0	0	0	21407.598529030398	0.18	
42	2021-01-02 18:00:00	0	0	0	0	0	0	0	0	23582.008152003204	0.18	
43	2021-01-02 19:00:00	0	0	0	0	0	0	0	0	28099.863747348598	0.18	
44	2021-01-02 20:00:00	0	0	0	0	0	0	0	0	31416.379653265998	0.18	
45	2021-01-02 21:00:00	0	0	0	0	0	0	0	0	30949.9885740318	0.2	
46	2021-01-02 22:00:00	0	0	0	0	0	0	0	0	28496.9560076944	0.2	
47	2021-01-02 23:00:00	0	0	0	0	0	0	0	0	24942.1033450988	0.2	
48	2021-01-03 00:00:00	0	0	0	0	0	0	0	0	19640.48314569658	0.2	
49	2021-01-03 01:00:00	0	0	0	0	0	0	0	0	18871.63363137826	0.2	
50	2021-01-03 02:00:00	0	0	0	0	0	0	0	0	17740.70012814194	0.2	
51	2021-01-03 03:00:00	0	0	0	0	0	0	0	0	16246.45070332154	0.2	
52	2021-01-03 04:00:00	0	0	0	0	0	0	0	0	14846.19217545928	0.2	
53	2021-01-03 05:00:00	0	0	0	0	0	0	0	0	13515.99387728542	0.18	
54	2021-01-03 06:00:00	0	0	0	0	0	0	0	0	14858.2059821202	0.18	
55	2021-01-03 07:00:00	0	0	0	0	0	0	0	0	17632.43413508192	0.18	
56	2021-01-03 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	0	0	0	0	17800.3166577494	0.18	
57	2021-01-03 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	0	0	0	0	13495.66617178466	0.2	
58	2021-01-03 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	0	0	0	0	11558.30555130022	0.2	
59	2021-01-03 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	0	0	0	0	9610.33745342862	0.2	
60	2021-01-03 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	0	0	0	0	8623.68769127276	0.2	
61	2021-01-03 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	0	0	0	0	11795.675246664521	0.2	
62	2021-01-03 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	0	0	0	0	13721.636166284821	0.2	
63	2021-01-03 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	0	0	0	0	15412.47154697702	0.2	
64	2021-01-03 16:00:00	-523.2032336	0.06	-523.2032336	0.06	0	0	0	0	19613.95558594424	0.2	
65	2021-01-03 17:00:00	0	0	0	0	0	0	0	0	21407.598529030398	0.18	
66	2021-01-03 18:00:00	0	0	0	0	0	0	0	0	23582.008152003204	0.18	
67	2021-01-03 19:00:00	0	0	0	0	0	0	0	0	28099.863747348598	0.18	
68	2021-01-03 20:00:00	0	0	0	0	0	0	0	0	31416.379653265998	0.18	
69	2021-01-03 21:00:00	0	0	0	0	0	0	0	0	30949.9885740318	0.2	
70	2021-01-03 22:00:00	0	0	0	0	0	0	0	0	28496.9560076944	0.2	
71	2021-01-03 23:00:00	0	0	0	0	0	0	0	0	24942.1033450988	0.2	
