simulation_time	physical_time	Enedis.curtailment_rate_consumption	Enedis.curtailment_rate_production	general_aggregator.curtailment_rate_consumption	general_aggregator.curtailment_rate_production	Local_DHN.curtailment_rate_consumption	Local_DHN.curtailment_rate_production	gas_aggregator.curtailment_rate_consumption	gas_aggregator.curtailment_rate_production	
0	2019-01-01 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
1	2019-01-01 02:11:24	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
2	2019-01-01 04:22:48	None	0.0	1.6661731877998014e-16	0.0	0.0	0.0	None	1.0	
3	2019-01-01 06:34:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
4	2019-01-01 08:45:36	None	0.0	1.3926428555691002e-16	0.0	0.0	0.0	None	1.0	
5	2019-01-01 10:57:00	None	0.0	0.0	1.3182557003537509e-16	None	1.3395745922946125e-16	None	1.0	
6	2019-01-01 13:08:24	None	0.0	1.6028549399197673e-16	1.321038867331143e-16	0.0	1.339406713774433e-16	None	1.0	
7	2019-01-01 15:19:48	None	0.0	0.0	1.3192223854003705e-16	0.0	1.339568831123841e-16	None	1.0	
8	2019-01-01 17:31:12	None	0.0	1.3721468188294234e-16	0.0	0.0	0.0	None	1.0	
9	2019-01-01 19:42:36	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
10	2019-01-01 21:54:00	None	0.0	1.7009998122296063e-16	0.0	0.0	0.0	None	1.0	
11	2019-01-02 00:05:24	None	0.0	1.1938306723305013e-16	0.0	0.0	0.0	None	1.0	
12	2019-01-02 02:16:48	None	0.0	1.922614412716307e-16	0.0	0.0	0.0	None	1.0	
13	2019-01-02 04:28:12	None	0.0	1.1881318103947422e-16	0.0	0.0	0.0	None	1.0	
14	2019-01-02 06:39:36	None	0.0	1.2275703289788804e-16	0.0	0.0	0.0	None	1.0	
15	2019-01-02 08:51:00	None	0.0	2.7046341102686974e-16	0.0	None	0.0	None	1.0	
16	2019-01-02 11:02:24	None	0.0	1.1971960104752963e-16	1.3090262433472612e-16	0.0	1.3396536087763242e-16	None	1.0	
17	2019-01-02 13:13:48	None	0.0	1.8788891135942837e-16	0.0	0.0	0.0	None	1.0	
18	2019-01-02 15:25:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
19	2019-01-02 17:36:36	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
20	2019-01-02 19:48:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
21	2019-01-02 21:59:24	None	0.0	1.566367678315315e-16	0.0	0.0	0.0	None	1.0	
22	2019-01-03 00:10:48	None	0.0	1.6088128942533958e-16	0.0	0.0	0.0	None	1.0	
23	2019-01-03 02:22:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
24	2019-01-03 04:33:36	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
25	2019-01-03 06:45:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
26	2019-01-03 08:56:24	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
27	2019-01-03 11:07:48	None	0.0	1.182598027186536e-16	0.0	0.0	0.0	None	1.0	
28	2019-01-03 13:19:12	None	0.0	1.3926428555691002e-16	0.0	0.0	0.0	None	1.0	
29	2019-01-03 15:30:36	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
30	2019-01-03 17:42:00	None	0.0	1.747073172120067e-16	0.0	0.0	0.0	None	1.0	
31	2019-01-03 19:53:24	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
32	2019-01-03 22:04:48	None	0.0	1.3721468188294234e-16	0.0	0.0	0.0	None	1.0	
33	2019-01-04 00:16:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
34	2019-01-04 02:27:36	None	0.0	1.7009998122296063e-16	0.0	0.0	0.0	None	1.0	
35	2019-01-04 04:39:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
36	2019-01-04 06:50:24	None	0.0	1.1296829673667556e-16	0.0	0.0	0.0	None	1.0	
37	2019-01-04 09:01:48	None	0.0	3.1436187456837195e-16	0.0	0.0	0.0	None	1.0	
38	2019-01-04 11:13:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
39	2019-01-04 13:24:36	None	0.0	2.7046341102686974e-16	0.0	0.0	0.0	None	1.0	
40	2019-01-04 15:36:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
41	2019-01-04 17:47:24	None	0.0	1.146036446970423e-16	0.0	0.0	0.0	None	1.0	
42	2019-01-04 19:58:48	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
43	2019-01-04 22:10:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
44	2019-01-05 00:21:36	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
45	2019-01-05 02:33:00	None	0.0	1.566367678315315e-16	0.0	None	0.0	None	1.0	
46	2019-01-05 04:44:24	None	0.0	1.4164316247062612e-16	0.0	0.0	0.0	None	1.0	
47	2019-01-05 06:55:48	None	0.0	0.0	0.0	0.0	1.3396593044232262e-16	None	1.0	
48	2019-01-05 09:07:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
49	2019-01-05 11:18:36	None	0.0	1.566367678315315e-16	0.0	0.0	0.0	None	1.0	
50	2019-01-05 13:30:00	None	0.0	1.6088128942533958e-16	0.0	0.0	0.0	None	1.0	
51	2019-01-05 15:41:24	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
52	2019-01-05 17:52:48	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
53	2019-01-05 20:04:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
54	2019-01-05 22:15:36	None	0.0	1.6661731877998014e-16	0.0	0.0	0.0	None	1.0	
55	2019-01-06 00:27:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
56	2019-01-06 02:38:24	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
57	2019-01-06 04:49:48	None	0.0	1.32202321560761e-16	0.0	0.0	1.3396593044232262e-16	None	1.0	
58	2019-01-06 07:01:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
59	2019-01-06 09:12:36	None	0.0	1.3763827746810307e-16	0.0	0.0	0.0	None	1.0	
60	2019-01-06 11:24:00	None	0.0	1.1196311814557959e-16	0.0	0.0	0.0	None	1.0	
61	2019-01-06 13:35:24	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
62	2019-01-06 15:46:48	None	0.0	1.7009998122296063e-16	0.0	0.0	0.0	None	1.0	
63	2019-01-06 17:58:12	None	0.0	1.1938306723305013e-16	0.0	0.0	0.0	None	1.0	
64	2019-01-06 20:09:36	None	0.0	1.922614412716307e-16	0.0	0.0	0.0	None	1.0	
65	2019-01-06 22:21:00	None	0.0	1.1881318103947422e-16	0.0	None	0.0	None	1.0	
66	2019-01-07 00:32:24	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
67	2019-01-07 02:43:48	None	0.0	1.7110821458753696e-16	1.270575799575442e-16	0.0	1.3396593044232262e-16	None	1.0	
68	2019-01-07 04:55:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
69	2019-01-07 07:06:36	None	0.0	0.0	1.2827618015814848e-16	0.0	1.3396593044232262e-16	None	1.0	
70	2019-01-07 09:18:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
71	2019-01-07 11:29:24	None	0.0	0.0	1.285561345304163e-16	0.0	1.3394948813539064e-16	None	1.0	
72	2019-01-07 13:40:48	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
73	2019-01-07 15:52:12	None	0.0	1.566367678315315e-16	0.0	0.0	0.0	None	1.0	
74	2019-01-07 18:03:36	None	0.0	1.6088128942533958e-16	0.0	0.0	0.0	None	1.0	
75	2019-01-07 20:15:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
76	2019-01-07 22:26:24	None	0.0	1.4003711255601862e-16	0.0	0.0	0.0	None	1.0	
77	2019-01-08 00:37:48	None	0.0	1.4302026234421864e-16	0.0	0.0	0.0	None	1.0	
78	2019-01-08 02:49:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
79	2019-01-08 05:00:36	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
80	2019-01-08 07:12:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
81	2019-01-08 09:23:24	None	0.0	0.0	1.2801399471105847e-16	0.0	1.3396342139126316e-16	None	1.0	
82	2019-01-08 11:34:48	None	0.0	2.0496604068467033e-16	0.0	0.0	0.0	None	1.0	
83	2019-01-08 13:46:12	None	0.0	0.0	1.2790520716291527e-16	0.0	1.3394181401881242e-16	None	1.0	
84	2019-01-08 15:57:36	None	0.0	1.3721468188294234e-16	1.2870092054570894e-16	0.0	1.339589513968086e-16	None	1.0	
85	2019-01-08 18:09:00	None	0.0	0.0	0.0	None	0.0	None	1.0	
86	2019-01-08 20:20:24	None	0.0	1.7998729864513518e-16	0.0	0.0	0.0	None	1.0	
87	2019-01-08 22:31:48	None	0.0	1.895563667130768e-16	0.0	0.0	0.0	None	1.0	
88	2019-01-09 00:43:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
89	2019-01-09 02:54:36	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
90	2019-01-09 05:06:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
91	2019-01-09 07:17:24	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
92	2019-01-09 09:28:48	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
93	2019-01-09 11:40:12	None	0.0	1.4925281162672488e-16	1.2933847765988833e-16	0.0	1.3395053899938663e-16	None	1.0	
94	2019-01-09 13:51:36	None	0.0	0.0	1.292320242730279e-16	0.0	1.3394119881446142e-16	None	1.0	
95	2019-01-09 16:03:00	None	0.0	1.6381074231117794e-16	1.2920077607216518e-16	None	1.339574191927077e-16	None	1.0	
96	2019-01-09 18:14:24	None	0.0	0.0	1.2945413016085535e-16	0.0	1.3396593044232262e-16	None	1.0	
97	2019-01-09 20:25:48	None	0.0	1.5228694682992475e-16	0.0	0.0	0.0	None	1.0	
98	2019-01-09 22:37:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
99	2019-01-10 00:48:36	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
