simulation_time	physical_time	Enedis.energy_sold_inside	Enedis.energy_sold_outside	Enedis.energy_bought_inside	Enedis.energy_bought_outside	Enedis.energy_erased_consumption	Enedis.energy_erased_production	Enedis.money_spent_inside	Enedis.money_spent_outside	Enedis.money_earned_inside	Enedis.money_earned_outside	general_aggregator.energy_sold_inside	general_aggregator.energy_sold_outside	general_aggregator.energy_bought_inside	general_aggregator.energy_bought_outside	general_aggregator.energy_erased_consumption	general_aggregator.energy_erased_production	general_aggregator.money_spent_inside	general_aggregator.money_spent_outside	general_aggregator.money_earned_inside	general_aggregator.money_earned_outside	Local_DHN.energy_sold_inside	Local_DHN.energy_sold_outside	Local_DHN.energy_bought_inside	Local_DHN.energy_bought_outside	Local_DHN.energy_erased_consumption	Local_DHN.energy_erased_production	Local_DHN.money_spent_inside	Local_DHN.money_spent_outside	Local_DHN.money_earned_inside	Local_DHN.money_earned_outside	gas_aggregator.energy_sold_inside	gas_aggregator.energy_sold_outside	gas_aggregator.energy_bought_inside	gas_aggregator.energy_bought_outside	gas_aggregator.energy_erased_consumption	gas_aggregator.energy_erased_production	gas_aggregator.money_spent_inside	gas_aggregator.money_spent_outside	gas_aggregator.money_earned_inside	gas_aggregator.money_earned_outside	
0	2019-01-01 00:00:00	0	0	6897.1049591706	0	0	0.0	689.71049591706	0	0	0	0.6990777390203766	6897.1049591706	6897.804036909619	0	0.0	0.0	701.0341303750969	0	0.12633145399056173	689.71049591706	3.7332299317299817	6785.26677006827	6789.0	0	0.0	0.0	678.9	0	0.5599844897594972	678.526677006827	0	0	0	0	0	2190.0	0	0	0.0	0	
1	2019-01-01 02:11:24	0	0	6883.907545667343	0	0	0.0	688.3907545667344	0	0	0	0.6825412018077106	6883.907545667343	6884.590086869151	0	0.0	0.0	693.8801414511051	0	0.10035530177541133	688.3907545667344	2.9759633888497867	6786.02403661115	6789.0	0	0.0	0.0	678.9	0	0.446394508327468	678.6024036611151	0	0	0	0	0	2190.0	0	0	0.0	0	
2	2019-01-01 04:22:48	0	0	6882.125663160728	0	0	0.0	688.2125663160729	0	0	0	1.3326622139337354	6882.125663160728	6883.458325374662	0	2.220446049250313e-16	0.0	686.9259447461674	0	0.12423997226692096	688.2125663160729	3.4649705769881534	6785.535029423012	6789.0	0	0.0	0.0	678.9	0	0.519745586548223	678.5535029423013	0	0	0	0	0	2190.0	0	0	0.0	0	
3	2019-01-01 06:34:12	0	0	6893.562476898206	0	0	0.0	689.3562476898206	0	0	0	0.8450714548392168	6893.562476898206	6894.407548353045	0	0.0	0.0	685.8332909786776	0	0.06486665242631989	689.3562476898206	3.5792751100053226	6785.420724889995	6789.0	0	0.0	0.0	678.9	0	0.5368912665007983	678.5420724889996	0	0	0	0	0	2190.0	0	0	0.0	0	
4	2019-01-01 08:45:36	0	0	6901.4840352320925	0	0	0.0	690.1484035232093	0	0	0	1.5944116902412375	6901.4840352320925	6903.078446922333	0	2.220446049250313e-16	0.0	696.4799281951449	0	0.1864630203265155	690.1484035232093	3.7094061866635815	6785.290593813336	6789.0	0	0.0	0.0	678.9	0	0.5564109279995372	678.5290593813337	0	0	0	0	0	2190.0	0	0	0.0	0	
5	2019-01-01 10:57:00	0	0	6898.464120373307	0	0	0.0	689.8464120373308	0	0	0	0.764166891958135	6898.464120373307	6899.228287265265	0	0.0	9.094947017729282e-13	693.5681543287707	0	0.09611651909044733	689.8464120373308	0	6789.4293233422495	6789.4293233422495	0	0	9.094947017729282e-13	678.9429323342249	0	0	678.942932334225	0	0	0	0	0	2190.0	0	0	0.0	0	
6	2019-01-01 13:08:24	0	0	6879.151753438061	0	0	0.0	687.9151753438061	0	0	0	5.541227703017117	6879.151753438061	6884.692981141078	0	8.881784197001252e-16	9.094947017729282e-13	692.9022554904323	0	0.9136751312773057	687.9151753438061	3.229548457174518	6787.05074818239	6790.280296639564	0	0.0	9.094947017729282e-13	679.0280296639563	0	0.4844322685761777	678.705074818239	0	0	0	0	0	2190.0	0	0	0.0	0	
7	2019-01-01 15:19:48	0	0	6892.982244729138	0	0	0.0	689.2982244729138	0	0	0	1.1905030817305151	6892.982244729138	6894.172747810869	0	0.0	9.094947017729282e-13	691.8782891115549	0	0.18546899283384427	689.2982244729138	0.4573278556264294	6789.001195226767	6789.458523082393	0	0.0	9.094947017729282e-13	678.9458523082393	0	0.06859917834396441	678.9001195226767	0	0	0	0	0	2190.0	0	0	0.0	0	
8	2019-01-01 17:31:12	0	0	6869.630871498793	0	0	0.0	686.9630871498794	0	0	0	0.8091138713365137	6869.630871498793	6870.439985370129	0	-1.1102230246251565e-16	0.0	688.7515994754176	0	0.11464998882683923	686.9630871498794	1.8576213813211429	6787.142378618679	6789.0	0	0.0	0.0	678.9	0	0.2786432071981714	678.7142378618679	0	0	0	0	0	2190.0	0	0	0.0	0	
9	2019-01-01 19:42:36	0	0	6869.797366894768	0	0	0.0	686.9797366894768	0	0	0	0.6706672968546639	6869.797366894768	6870.468034191622	0	0.0	0.0	697.1058720433549	0	0.1451387376137559	686.9797366894768	2.218060851577581	6786.781939148423	6789.0	0	0.0	0.0	678.9	0	0.33270912773663713	678.6781939148423	0	0	0	0	0	2190.0	0	0	0.0	0	
