physical_time
2019-01-01 00:00:00
2019-01-01 02:11:24
2019-01-01 04:22:48
2019-01-01 06:34:12
2019-01-01 08:45:36
2019-01-01 10:57:00
2019-01-01 13:08:24
2019-01-01 15:19:48
2019-01-01 17:31:12
2019-01-01 19:42:36
2019-01-01 21:54:00
2019-01-02 00:05:24
2019-01-02 02:16:48
2019-01-02 04:28:12
2019-01-02 06:39:36
2019-01-02 08:51:00
2019-01-02 11:02:24
2019-01-02 13:13:48
2019-01-02 15:25:12
2019-01-02 17:36:36
2019-01-02 19:48:00
2019-01-02 21:59:24
2019-01-03 00:10:48
2019-01-03 02:22:12
2019-01-03 04:33:36
2019-01-03 06:45:00
2019-01-03 08:56:24
2019-01-03 11:07:48
2019-01-03 13:19:12
2019-01-03 15:30:36
2019-01-03 17:42:00
2019-01-03 19:53:24
2019-01-03 22:04:48
2019-01-04 00:16:12
2019-01-04 02:27:36
2019-01-04 04:39:00
2019-01-04 06:50:24
2019-01-04 09:01:48
2019-01-04 11:13:12
2019-01-04 13:24:36
2019-01-04 15:36:00
2019-01-04 17:47:24
2019-01-04 19:58:48
2019-01-04 22:10:12
2019-01-05 00:21:36
2019-01-05 02:33:00
2019-01-05 04:44:24
2019-01-05 06:55:48
2019-01-05 09:07:12
2019-01-05 11:18:36
2019-01-05 13:30:00
2019-01-05 15:41:24
2019-01-05 17:52:48
2019-01-05 20:04:12
2019-01-05 22:15:36
2019-01-06 00:27:00
2019-01-06 02:38:24
2019-01-06 04:49:48
2019-01-06 07:01:12
2019-01-06 09:12:36
2019-01-06 11:24:00
2019-01-06 13:35:24
2019-01-06 15:46:48
2019-01-06 17:58:12
2019-01-06 20:09:36
2019-01-06 22:21:00
2019-01-07 00:32:24
2019-01-07 02:43:48
2019-01-07 04:55:12
2019-01-07 07:06:36
2019-01-07 09:18:00
2019-01-07 11:29:24
2019-01-07 13:40:48
2019-01-07 15:52:12
2019-01-07 18:03:36
2019-01-07 20:15:00
2019-01-07 22:26:24
2019-01-08 00:37:48
2019-01-08 02:49:12
2019-01-08 05:00:36
2019-01-08 07:12:00
2019-01-08 09:23:24
2019-01-08 11:34:48
2019-01-08 13:46:12
2019-01-08 15:57:36
2019-01-08 18:09:00
2019-01-08 20:20:24
2019-01-08 22:31:48
2019-01-09 00:43:12
2019-01-09 02:54:36
2019-01-09 05:06:00
2019-01-09 07:17:24
2019-01-09 09:28:48
2019-01-09 11:40:12
2019-01-09 13:51:36
2019-01-09 16:03:00
2019-01-09 18:14:24
2019-01-09 20:25:48
2019-01-09 22:37:12
2019-01-10 00:48:36
2019-01-10 03:00:00
2019-01-10 05:11:24
2019-01-10 07:22:48
2019-01-10 09:34:12
2019-01-10 11:45:36
2019-01-10 13:57:00
2019-01-10 16:08:24
2019-01-10 18:19:48
2019-01-10 20:31:12
2019-01-10 22:42:36
2019-01-11 00:54:00
2019-01-11 03:05:24
2019-01-11 05:16:48
2019-01-11 07:28:12
2019-01-11 09:39:36
2019-01-11 11:51:00
2019-01-11 14:02:24
2019-01-11 16:13:48
2019-01-11 18:25:12
2019-01-11 20:36:36
2019-01-11 22:48:00
2019-01-12 00:59:24
2019-01-12 03:10:48
2019-01-12 05:22:12
2019-01-12 07:33:36
2019-01-12 09:45:00
2019-01-12 11:56:24
2019-01-12 14:07:48
2019-01-12 16:19:12
2019-01-12 18:30:36
2019-01-12 20:42:00
2019-01-12 22:53:24
2019-01-13 01:04:48
2019-01-13 03:16:12
2019-01-13 05:27:36
2019-01-13 07:39:00
2019-01-13 09:50:24
2019-01-13 12:01:48
2019-01-13 14:13:12
2019-01-13 16:24:36
2019-01-13 18:36:00
2019-01-13 20:47:24
2019-01-13 22:58:48
2019-01-14 01:10:12
2019-01-14 03:21:36
2019-01-14 05:33:00
2019-01-14 07:44:24
2019-01-14 09:55:48
2019-01-14 12:07:12
2019-01-14 14:18:36
2019-01-14 16:30:00
2019-01-14 18:41:24
2019-01-14 20:52:48
2019-01-14 23:04:12
2019-01-15 01:15:36
2019-01-15 03:27:00
2019-01-15 05:38:24
2019-01-15 07:49:48
2019-01-15 10:01:12
2019-01-15 12:12:36
2019-01-15 14:24:00
2019-01-15 16:35:24
2019-01-15 18:46:48
2019-01-15 20:58:12
2019-01-15 23:09:36
2019-01-16 01:21:00
2019-01-16 03:32:24
2019-01-16 05:43:48
