simulation_time	physical_time	dummy_complete_profile_0_ElectricDam_0.energy	dummy_complete_profile_0_ElectricDam_0.money	
0	2019-01-01 00:00:00	-90.28069581960001	0.2	
1	2019-01-01 02:11:24	-91.19262204000002	0.155	
2	2019-01-01 04:22:48	-96.6641793624	0.0855	
3	2019-01-01 06:34:12	-108.9751833378	0.0669	
4	2019-01-01 08:45:36	-113.99077755	0.1524	
5	2019-01-01 10:57:00	-98.48803180320003	0.1332	
6	2019-01-01 13:08:24	-92.10454826040001	0.1454	
7	2019-01-01 15:19:48	-89.36876959920001	0.1234	
8	2019-01-01 17:31:12	-73.41006074220002	0.1205	
9	2019-01-01 19:42:36	-75.68987629320002	0.2202	
10	2019-01-01 21:54:00	-76.6018025136	0.2055	
11	2019-01-02 00:05:24	-85.72106471760002	0.2	
12	2019-01-02 02:16:48	-78.42565495440003	0.155	
13	2019-01-02 04:28:12	-77.96969184420003	0.0855	
14	2019-01-02 06:39:36	-78.42565495440003	0.0669	
15	2019-01-02 08:51:00	-88.45684337880002	0.1524	
16	2019-01-02 11:02:24	-110.34307266840003	0.1261	
17	2019-01-02 13:13:48	-111.710961999	0.1454	
18	2019-01-02 15:25:12	-103.04766290520001	0.1234	
19	2019-01-02 17:36:36	-89.36876959920001	0.1205	
20	2019-01-02 19:48:00	-103.9595891256	0.2202	
21	2019-01-02 21:59:24	-109.88710955820002	0.2055	
22	2019-01-03 00:10:48	-97.57610558280001	0.2	
23	2019-01-03 02:22:12	-88.91280648900002	0.155	
24	2019-01-03 04:33:36	-91.64858515020002	0.0855	
25	2019-01-03 06:45:00	-85.72106471760002	0.0669	
26	2019-01-03 08:56:24	-113.99077755	0.1524	
27	2019-01-03 11:07:48	-99.39995802360002	0.1261	
28	2019-01-03 13:19:12	-97.12014247260002	0.1454	
29	2019-01-03 15:30:36	-95.2962900318	0.1234	
30	2019-01-03 17:42:00	-93.472437591	0.1205	
31	2019-01-03 19:53:24	-89.36876959920001	0.2202	
32	2019-01-03 22:04:48	-94.84032692160001	0.2281	
33	2019-01-04 00:16:12	-151.8357156966	0.2	
34	2019-01-04 02:27:36	-169.61827699440005	0.155	
35	2019-01-04 04:39:00	-155.93938368840006	0.0855	
36	2019-01-04 06:50:24	-217.9503666756	0.0669	
37	2019-01-04 09:01:48	-235.27696486320005	0.1306	
38	2019-01-04 11:13:12	-247.13200572840003	0.1261	
39	2019-01-04 13:24:36	-311.8787673768001	0.1454	
40	2019-01-04 15:36:00	-334.6769228868	0.1234	
41	2019-01-04 17:47:24	-323.73380824200007	0.1205	
42	2019-01-04 19:58:48	-316.894361589	0.2202	
43	2019-01-04 22:10:12	-301.84757895240006	0.2281	
44	2019-01-05 00:21:36	-296.37602163	0.2	
45	2019-01-05 02:33:00	-309.1429887156	0.155	
46	2019-01-05 04:44:24	-329.66132867460004	0.0855	
47	2019-01-05 06:55:48	-316.894361589	0.0669	
48	2019-01-05 09:07:12	-305.0393207238001	0.1306	
49	2019-01-05 11:18:36	-304.5833576136	0.1261	
50	2019-01-05 13:30:00	-290.44850119740005	0.1454	
51	2019-01-05 15:41:24	-266.2824563568	0.1234	
52	2019-01-05 17:52:48	-273.57786612	0.1205	
53	2019-01-05 20:04:12	-300.4796896218001	0.2157	
54	2019-01-05 22:15:36	-286.3448332056	0.2281	
55	2019-01-06 00:27:00	-258.98704659360004	0.2	
56	2019-01-06 02:38:24	-246.67604261820006	0.155	
57	2019-01-06 04:49:48	-252.60356305080003	0.0855	
