heat_storage.energy_stored	heating.LTH.energy_bought	prices_elec.France.buying_price	PV.LVE.energy_sold	
119813.89639880724	0.0534256721179922	0.20537999999999998	0	
119627.8052421696	0.09453000918435275	0.13355999999999998	0	
119441.86216085259	0	0.1026	0	
119255.9725822396	0	0.09639000000000002	0	
119070.10922460089	0.027266335914771758	0.2574	0	
118884.268208986	0.05840407647411561	0.4180500000000001	0	
118698.48133570634	0.05773507772022229	0.5778000000000001	0	
118512.74858918248	0.057066078966328926	0.59598	0.19561361979750003	
118327.06995383945	0.056397080212435655	0.5931	1.3571854398374998	
118141.44646539394	0.054676797702424444	0.58428	2.062063419219376	
117955.87810797684	0.052956515192413	0.5741999999999999	2.5549034439493754	
117770.41610195715	0	0.5499	2.6723106629175004	
117585.00746021833	0	0.54774	2.4555801845593748	
117399.65216740634	0	0.55503	1.9325942386800004	
117214.35020817019	0	0.52227	1.24000416295	
117029.10156716354	0	0.58185	0.006170239409375	
116843.90622904565	0	0.6122700000000001	0	
116658.76417847857	0	0.6273899999999999	0	
116473.67540012946	0	0.61677	0	
116288.63987867109	0	0.5742900000000001	0	
116103.65759877762	0	0.47420999999999996	0	
115918.26070473788	0.4678403922884211	0.4775400000000001	0	
115733.29142234096	0.09357429667879116	0.44216999999999995	0	
115548.37555359177	0.09338315417767869	0.4247099999999999	0	
115548.37555359177	0.09338315417767869	0.39644999999999997	0	
