simulation_time	physical_time	national_electricity_distribution_network.energy_sold_inside	national_electricity_distribution_network.energy_sold_outside	national_electricity_distribution_network.energy_bought_inside	national_electricity_distribution_network.energy_bought_outside	national_electricity_distribution_network.energy_erased_consumption	national_electricity_distribution_network.energy_erased_production	national_electricity_distribution_network.money_spent_inside	national_electricity_distribution_network.money_spent_outside	national_electricity_distribution_network.money_earned_inside	national_electricity_distribution_network.money_earned_outside	national_gas_distribution_network.energy_sold_inside	national_gas_distribution_network.energy_sold_outside	national_gas_distribution_network.energy_bought_inside	national_gas_distribution_network.energy_bought_outside	national_gas_distribution_network.energy_erased_consumption	national_gas_distribution_network.energy_erased_production	national_gas_distribution_network.money_spent_inside	national_gas_distribution_network.money_spent_outside	national_gas_distribution_network.money_earned_inside	national_gas_distribution_network.money_earned_outside	electric_microgrid.energy_sold_inside	electric_microgrid.energy_sold_outside	electric_microgrid.energy_bought_inside	electric_microgrid.energy_bought_outside	electric_microgrid.energy_erased_consumption	electric_microgrid.energy_erased_production	electric_microgrid.money_spent_inside	electric_microgrid.money_spent_outside	electric_microgrid.money_earned_inside	electric_microgrid.money_earned_outside	district_heating_network.energy_sold_inside	district_heating_network.energy_sold_outside	district_heating_network.energy_bought_inside	district_heating_network.energy_bought_outside	district_heating_network.energy_erased_consumption	district_heating_network.energy_erased_production	district_heating_network.money_spent_inside	district_heating_network.money_spent_outside	district_heating_network.money_earned_inside	district_heating_network.money_earned_outside	
0	2021-01-01 00:00:00	13604.201229332897	0	0	0	0.0	0	0	0	2992.9242704532376	0	0	0	0	0	0	0	0	0	0	0	13614.581544065768	0	10.380314732870275	13604.201229332897	0.0	0.0	0.6228188839722165	2992.9242704532376	2722.9163088131536	0	0	0	0	0	0	0	0	0	0	0	
1	2021-01-01 01:00:00	13268.324556253574	0	0	0	0.0	0	0	0	2485.555239122982	0	0	0	0	0	0	0	0	0	0	0	13282.21625293311	0	13.891696679536848	13268.324556253574	0.0	0.0	0.8335018007722108	2485.555239122982	2656.4432505866225	0	0	0	0	0	0	0	0	0	0	0	
2	2021-01-01 02:00:00	12362.733549651846	0	0	0	0.0	0	0	0	2107.84607021564	0	0	0	0	0	0	0	0	0	0	0	12380.604353211345	0	17.870803559498313	12362.733549651846	0.0	0.0	1.0722482135698987	2107.84607021564	2476.1208706422694	0	0	0	0	0	0	0	0	0	0	0	
3	2021-01-01 03:00:00	11370.213599138533	0	0	0	0.0	0	0	0	1753.5143412591444	0	0	0	0	0	0	0	0	0	0	0	11391.980659468934	0	21.767060330402025	11370.213599138533	0.0	0.0	1.3060236198241215	1753.5143412591444	2278.396131893787	0	0	0	0	0	0	0	0	0	0	0	
4	2021-01-01 04:00:00	10356.248453012433	0	0	0	0.0	0	0	0	974.0051670058194	0	0	0	0	0	0	0	0	0	0	0	10382.982911954927	0	26.734458942493116	10356.248453012433	0.0	0.0	1.604067536549587	974.0051670058194	2076.5965823909855	0	0	0	0	0	0	0	0	0	0	0	
5	2021-01-01 05:00:00	9433.462667989184	0	0	0	0.0	0	0	0	709.7737311395064	0	0	0	0	0	0	0	0	0	0	0	9465.754607602272	0	32.29193961308655	9433.462667989184	0.0	0.0	1.291677584523462	709.7737311395064	1703.835829368409	0	0	0	0	0	0	0	0	0	0	0	
6	2021-01-01 06:00:00	10360.908302211901	0	0	0	0.0	0	0	0	762.4592419597739	0	0	0	0	0	0	0	0	0	0	0	10398.585206660196	0	37.67690444829448	10360.908302211901	0.0	0.0	1.5070761779317792	762.4592419597739	1871.7453371988354	0	0	0	0	0	0	0	0	0	0	0	
7	2021-01-01 07:00:00	12299.129657260377	0	0	0	0.0	0	0	0	1181.085420986714	0	0	0	0	0	0	0	0	0	0	0	12343.581197458869	0	44.45154019849216	12299.129657260377	0.0	0.0	1.7780616079396865	1181.085420986714	2221.8446155425963	0	0	0	0	0	0	0	0	0	0	0	
8	2021-01-01 08:00:00	12047.273597589907	0	0	0	0.0	0	0	0	2019.604945899972	0	0	0	0	0	0	0	0	0	0	0	12459.750007479011	0	412.4764098891054	12047.273597589907	0.0	0.0	16.499056395564217	2019.604945899972	2242.755001346222	0	0	0	0	0	0	0	0	0	0	0	
9	2021-01-01 09:00:00	6628.5593597621355	0	0	0	0.0	0	0	0	952.2588376234285	0	0	0	0	0	0	0	0	0	0	0	9447.114984974954	0	2818.5556252128185	6628.5593597621355	0.0	0.0	169.11333751276908	952.2588376234285	1889.422996994991	0	0	0	0	0	0	0	0	0	0	0	
10	2021-01-01 10:00:00	3739.0430957572416	0	0	0	0.0	0	0	0	547.8445943903512	0	0	0	0	0	0	0	0	0	0	0	8090.762581200993	0	4351.719485443751	3739.0430957572416	0.0	0.0	261.10316912662506	547.8445943903512	1618.1525162401986	0	0	0	0	0	0	0	0	0	0	0	
11	2021-01-01 11:00:00	1277.7103405315502	0	0	0	0.0	0	0	0	177.23120133513132	0	0	0	0	0	0	0	0	0	0	0	6727.250817642488	0	5449.540477110938	1277.7103405315502	0.0	0.0	326.97242862665627	177.23120133513132	1345.4501635284978	0	0	0	0	0	0	0	0	0	0	0	
