simulation_time	physical_time	Enedis.weighed_curtailment_rate_consumption	Enedis.weighed_curtailment_rate_production	general_aggregator.weighed_curtailment_rate_consumption	general_aggregator.weighed_curtailment_rate_production	Local_DHN.weighed_curtailment_rate_consumption	Local_DHN.weighed_curtailment_rate_production	gas_aggregator.weighed_curtailment_rate_consumption	gas_aggregator.weighed_curtailment_rate_production	
0	2019-01-01 00:00:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
1	2019-01-01 02:07:48	None	0.0	1.6813126216706646e-16	0.0	0.0	0.0	None	1.0	
2	2019-01-01 04:15:36	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
3	2019-01-01 06:23:24	None	0.0	1.4032037698810272e-16	0.0	0.0	0.0	None	1.0	
4	2019-01-01 08:31:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
5	2019-01-01 10:39:00	None	0.0	0.0	1.354779940223699e-16	None	1.3773066345360654e-16	None	1.0	
6	2019-01-01 12:46:48	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
7	2019-01-01 14:54:36	None	0.0	1.2462619735435661e-16	1.3518720740772062e-16	0.0	1.3771877175719817e-16	None	1.0	
8	2019-01-01 17:02:24	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
9	2019-01-01 19:10:12	None	0.0	1.7328592846318213e-16	0.0	0.0	0.0	None	1.0	
10	2019-01-01 21:18:00	None	0.0	1.2094368645253178e-16	0.0	0.0	0.0	None	1.0	
11	2019-01-01 23:25:48	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
12	2019-01-02 01:33:36	None	0.0	1.1958101600170943e-16	1.3489553555798984e-16	0.0	1.377396186237965e-16	None	1.0	
13	2019-01-02 03:41:24	None	0.0	1.2357686434791385e-16	0.0	0.0	0.0	None	1.0	
14	2019-01-02 05:49:12	None	0.0	2.7245460559802094e-16	0.0	0.0	0.0	None	1.0	
15	2019-01-02 07:57:00	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
16	2019-01-02 10:04:48	None	0.0	1.1531787137393651e-16	0.0	None	0.0	None	1.0	
17	2019-01-02 12:12:36	None	0.0	1.8821298585736604e-16	0.0	0.0	0.0	None	1.0	
18	2019-01-02 14:20:24	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
19	2019-01-02 16:28:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
20	2019-01-02 18:36:00	None	0.0	1.5933434658829336e-16	1.3524493011676483e-16	0.0	1.377396186237965e-16	None	1.0	
21	2019-01-02 20:43:48	None	0.0	1.6372837490118016e-16	0.0	0.0	0.0	None	1.0	
22	2019-01-02 22:51:36	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
23	2019-01-03 00:59:24	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
24	2019-01-03 03:07:12	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
25	2019-01-03 05:15:00	None	0.0	1.6813126216706646e-16	0.0	0.0	0.0	None	1.0	
26	2019-01-03 07:22:48	None	0.0	0.0	0.0	0.0	0.0	None	1.0	
