simulation_time	physical_time	dummy_complete_profile_0_ElectricDam_0.energy	dummy_complete_profile_0_ElectricDam_0.money	
93	2019-01-09 06:05:24	-260.35493592420005	0.0669	
94	2019-01-09 08:13:12	-250.32374749980002	0.1524	
95	2019-01-09 10:21:00	-246.22007950800005	0.1332	
96	2019-01-09 12:28:48	-245.7641163978	0.1441	
97	2019-01-09 14:36:36	-252.1475999406	0.1214	
98	2019-01-09 16:44:24	-248.04393194880006	0.1166	
99	2019-01-09 18:52:12	-243.02833773660004	0.179	
100	2019-01-09 21:00:00	-238.01274352440007	0.2055	
101	2019-01-09 23:07:48	-230.71733376120002	0.2047	
102	2019-01-10 01:15:36	-217.03844045520003	0.1703	
103	2019-01-10 03:23:24	-220.68614533680005	0.1402	
104	2019-01-10 05:31:12	-237.10081730400006	0.0684	
105	2019-01-10 07:39:00	-234.36503864280002	0.0873	
106	2019-01-10 09:46:48	-211.56688313280003	0.1306	
107	2019-01-10 11:54:36	-207.463215141	0.1261	
108	2019-01-10 14:02:24	-187.85680140240004	0.1214	
109	2019-01-10 16:10:12	-180.56139163920002	0.1166	
110	2019-01-10 18:18:00	-191.96046939420006	0.179	
111	2019-01-10 20:25:48	-200.16780537780002	0.2157	
112	2019-01-10 22:33:36	-204.72743647980002	0.2281	
113	2019-01-11 00:41:24	-202.44762092880003	0.2	
114	2019-01-11 02:49:12	-199.25587915740005	0.155	
115	2019-01-11 04:57:00	-203.35954714920004	0.0855	
116	2019-01-11 07:04:48	-216.58247734500003	0.0873	
117	2019-01-11 09:12:36	-217.49440356540006	0.1306	
118	2019-01-11 11:20:24	-221.59807155720003	0.1261	
119	2019-01-11 13:28:12	-218.862292896	0.1454	
120	2019-01-11 15:36:00	-284.976943875	0.1234	
121	2019-01-11 17:43:48	-291.81639052800006	0.1205	
122	2019-01-11 19:51:36	-296.8319847402	0.2202	
123	2019-01-11 21:59:24	-286.3448332056	0.2055	
124	2019-01-12 00:07:12	-264.458603916	0.2	
125	2019-01-12 02:15:00	-267.19438257720003	0.155	
126	2019-01-12 04:22:48	-270.3861243486	0.0855	
127	2019-01-12 06:30:36	-262.63475147520006	0.0669	
128	2019-01-12 08:38:24	-255.79530482220005	0.1524	
129	2019-01-12 10:46:12	-266.2824563568	0.1332	
130	2019-01-12 12:54:00	-289.08061186680004	0.1441	
131	2019-01-12 15:01:48	-319.6301402502	0.1234	
132	2019-01-12 17:09:36	-322.36591891140006	0.1205	
133	2019-01-12 19:17:24	-336.5007753276001	0.2202	
134	2019-01-12 21:25:12	-317.35032469920003	0.2055	
135	2019-01-12 23:33:00	-300.4796896218001	0.2047	
136	2019-01-13 01:40:48	-295.0081322994001	0.1703	
137	2019-01-13 03:48:36	-302.75950517280006	0.1402	
138	2019-01-13 05:56:24	-314.15858292780007	0.0684	
139	2019-01-13 08:04:12	-307.77509938500003	0.1524	
140	2019-01-13 10:12:00	-282.69712832400006	0.1332	
141	2019-01-13 12:19:48	-263.5466776956	0.1441	
142	2019-01-13 14:27:36	-278.13749722200004	0.1214	
143	2019-01-13 16:35:24	-327.83747623380003	0.1166	
144	2019-01-13 18:43:12	-322.36591891140006	0.179	
145	2019-01-13 20:51:00	-299.5677634014001	0.2157	
146	2019-01-13 22:58:48	-266.738419467	0.2281	
147	2019-01-14 01:06:36	-262.63475147520006	0.1703	
148	2019-01-14 03:14:24	-253.5154892712	0.1402	
149	2019-01-14 05:22:12	-287.25675942600003	0.0684	
150	2019-01-14 07:30:00	-272.20997678940006	0.0873	
151	2019-01-14 09:37:48	-271.7540136792	0.1306	
152	2019-01-14 11:45:36	-235.73292797340002	0.1261	
153	2019-01-14 13:53:24	-269.47419812820004	0.1454	
154	2019-01-14 16:01:12	-264.458603916	0.1166	
155	2019-01-14 18:09:00	-296.37602163	0.179	
156	2019-01-14 20:16:48	-342.42829576020006	0.2157	
157	2019-01-14 22:24:36	-411.73468851060005	0.2281	
158	2019-01-15 00:32:24	-436.8126595716	0.2	
159	2019-01-15 02:40:12	-447.2998111062	0.155	
160	2019-01-15 04:48:00	-438.1805489022	0.0855	
161	2019-01-15 06:55:48	-405.8071680780001	0.0669	
162	2019-01-15 09:03:36	-374.34571347420007	0.1306	
163	2019-01-15 11:11:24	-350.1796686336001	0.1261	
164	2019-01-15 13:19:12	-324.18977135219995	0.1454	
165	2019-01-15 15:27:00	-327.83747623380003	0.1234	
166	2019-01-15 17:34:48	-326.9255500134	0.1205	
167	2019-01-15 19:42:36	-296.8319847402	0.2202	
