simulation_time	physical_time	national_electricity_distribution_network.energy_sold_inside	national_electricity_distribution_network.energy_sold_outside	national_electricity_distribution_network.energy_bought_inside	national_electricity_distribution_network.energy_bought_outside	national_electricity_distribution_network.energy_erased_consumption	national_electricity_distribution_network.energy_erased_production	national_electricity_distribution_network.money_spent_inside	national_electricity_distribution_network.money_spent_outside	national_electricity_distribution_network.money_earned_inside	national_electricity_distribution_network.money_earned_outside	national_gas_distribution_network.energy_sold_inside	national_gas_distribution_network.energy_sold_outside	national_gas_distribution_network.energy_bought_inside	national_gas_distribution_network.energy_bought_outside	national_gas_distribution_network.energy_erased_consumption	national_gas_distribution_network.energy_erased_production	national_gas_distribution_network.money_spent_inside	national_gas_distribution_network.money_spent_outside	national_gas_distribution_network.money_earned_inside	national_gas_distribution_network.money_earned_outside	electric_microgrid.energy_sold_inside	electric_microgrid.energy_sold_outside	electric_microgrid.energy_bought_inside	electric_microgrid.energy_bought_outside	electric_microgrid.energy_erased_consumption	electric_microgrid.energy_erased_production	electric_microgrid.money_spent_inside	electric_microgrid.money_spent_outside	electric_microgrid.money_earned_inside	electric_microgrid.money_earned_outside	district_heating_network.energy_sold_inside	district_heating_network.energy_sold_outside	district_heating_network.energy_bought_inside	district_heating_network.energy_bought_outside	district_heating_network.energy_erased_consumption	district_heating_network.energy_erased_production	district_heating_network.money_spent_inside	district_heating_network.money_spent_outside	district_heating_network.money_earned_inside	district_heating_network.money_earned_outside	
0	2021-01-01 00:00:00	4205.380567590424	0	0	0	0.0	0	0	0	925.1837248698935	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	9179.760882323295	0	4974.380314732871	4205.380567590424	0.0	0.0	298.46281888397215	925.1837248698935	1835.9521764646593	0	12526.24009257636	0	25879.706804708327	0	0.0	0.0	1173.9853402354165	0	1002.0992074061088	0	
1	2021-01-01 01:00:00	4011.946162139382	0	0	0	0.0	0	0	0	751.5578745535705	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	8989.837858818919	0	4977.891696679537	4011.946162139382	0.0	0.0	298.67350180077216	751.5578745535705	1797.967571763784	0	12597.918569648515	0	25876.57947315415	0	0.0	0.0	1173.8289736577076	0	1007.8334855718813	0	
2	2021-01-01 02:00:00	3492.7602554184123	0	0	0	0.0	0	0	0	595.5156235488394	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	8474.631058977911	0	4981.870803559499	3492.7602554184123	0.0	0.0	298.91224821356985	595.5156235488394	1694.9262117955823	0	12239.526184287737	0	25872.409697748582	0	0.0	0.0	1173.620484887429	0	979.1620947430189	0	
3	2021-01-01 03:00:00	2923.9361736518467	0	0	0	0.0	0	0	0	450.9294367005878	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	7909.703233982248	0	4985.767060330401	2923.9361736518467	0.0	0.0	299.1460236198241	450.9294367005878	1581.9406467964498	0	10304.207303339528	0	25869.282366194406	0	0.0	0.0	1173.4641183097203	0	824.3365842671623	0	
4	2021-01-01 04:00:00	2342.3986336031785	0	0	0	0.0	0	0	0	220.30259149037894	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	7333.133092545672	0	4990.734458942494	2342.3986336031785	0.0	0.0	299.44406753654954	220.30259149037894	1466.6266185091345	0	8583.92385360779	0	25863.481523623675	0	0.0	0.0	1173.1740761811839	0	686.7139082886232	0	
5	2021-01-01 05:00:00	1812.710693302497	0	0	0	0.0	0	0	0	136.3883525640799	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	6809.002632915584	0	4996.291939613087	1812.710693302497	0.0	0.0	199.8516775845235	136.3883525640799	1225.620473924805	0	5891.881882296266	0	25858.852286173413	0	0.0	0.0	1172.9426143086707	0	471.35055058370125	0	
6	2021-01-01 06:00:00	2340.3717850718167	0	0	0	0.0	0	0	0	172.227959663435	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	7342.048689520112	0	5001.676904448295	2340.3717850718167	0.0	0.0	200.06707617793177	172.227959663435	1321.56876411362	0	6885.335788466491	0	25854.22304872315	0	0.0	0.0	1172.7111524361576	0	550.8268630773193	0	
7	2021-01-01 07:00:00	3445.0234297780044	0	0	0	0.0	0	0	0	330.82559996158176	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	8453.474969976496	0	5008.451540198492	3445.0234297780044	0.0	0.0	200.33806160793966	330.82559996158176	1521.6254945957692	0	7100.369411946076	0	25858.852286173413	0	0.0	0.0	1172.9426143086707	0	568.0295529556861	0	
8	2021-01-01 08:00:00	3143.3807372417596	0	0	0	0.0	0	0	0	526.9563467912086	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	8519.857147130864	0	5376.476409889105	3143.3807372417596	0.0	0.0	215.05905639556426	526.9563467912086	1533.5742864835554	0	8531.899318402324	0	25862.709984048633	0	0.0	0.0	1173.1354992024317	0	682.5519454721859	0	
9	2021-01-01 09:00:00	0	0	984.204205227129	0	0	0.0	115.68336228239674	0	0	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	6798.351419985688	984.204205227129	7782.555625212817	0	0.0	0.0	466.95333751276905	0	1359.6702839971376	115.68336228239674	5447.684868023284	0	25868.23992234301	0	0.0	0.0	1173.4119961171507	0	435.81478944186273	0	
10	2021-01-01 10:00:00	0	0	3292.4265819003267	0	0	0.0	394.6960986382112	0	0	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	6023.2929035434245	3292.4265819003267	9315.719485443751	0	0.0	0.0	558.943169126625	0	1204.658580708685	394.6960986382112	5304.322490668449	0	25887.003911668075	0	0.0	0.0	1174.3501955834038	0	424.34579925347595	0	
11	2021-01-01 11:00:00	0	0	5169.3971527438025	0	0	0.0	586.6748828648941	0	0	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	5244.143324367136	5169.3971527438025	10413.540477110939	0	0.0	0.0	624.8124286266562	0	1048.8286648734274	586.6748828648941	4945.924682097145	0	25907.481658221815	0	0.0	0.0	1175.3740829110907	0	395.67397456777167	0	
12	2021-01-01 12:00:00	0	0	6000.0	0	0	0.0	778.14	0	0	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	4849.475076509152	6000.0	11018.537737023438	0	0.0	0.0	661.1122642214061	0	969.8950153018304	778.14	4300.812965237219	0	25927.99033160336	0	0.0	0.0	1176.399516580168	0	344.0650372189775	0	
13	2021-01-01 13:00:00	0	0	4141.523090317855	0	0	0.0	541.9597115989945	0	0	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	6118.270098665785	4141.523090317855	10259.79318898364	0	0.0	0.0	615.5875913390182	0	1223.654019733157	541.9597115989945	3870.7372821726995	0	25945.928233348084	0	0.0	0.0	1177.2964116674043	0	309.658982573816	0	
14	2021-01-01 14:00:00	0	0	2714.4462314865377	0	0	0.0	296.5803952522191	0	0	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	6888.654466495424	2714.4462314865377	9603.100697981961	0	0.0	0.0	576.1860418789175	0	1377.7308932990848	296.5803952522191	4157.4463698297395	0	25963.86613509281	0	0.0	0.0	1178.1933067546404	0	332.59570958637914	0	
15	2021-01-01 15:00:00	0	0	549.9307550297017	0	0	0.0	61.075309653598666	0	0	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	7564.988618801111	549.9307550297017	8114.919373830813	0	0.0	0.0	486.89516242984865	0	1512.9977237602225	61.075309653598666	4587.512411631089	0	25981.899815033445	0	0.0	0.0	1179.0949907516724	0	367.00099293048714	0	
16	2021-01-01 16:00:00	3202.9991833723707	0	0	0	0.0	0	0	0	410.8166752593403	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	9245.58223437196	0	6042.5830509995885	3202.9991833723707	0.0	0.0	362.5549830599753	410.8166752593403	1849.116446874392	0	4802.551458321261	0	25968.35061052899	0	0.0	0.0	1178.4175305264494	0	384.20411666570084	0	
