house_owner.money_earned	house_owner.money_spent	heat_storage.LTH.energy_bought	heat_storage.LTH.energy_sold	
0.0	0.06399	0	0	
0.0	0.049409999999999996	0	0	
0.0	0.01701	0	0	
0.0	-0.27135	0	0	
0.0	-0.42957	0	0	
0.0	-0.38691	0	0	
0.0	-0.18508500000000006	0	0	
0.00779031696671875	-0.04229433882968243	0	0	
0.05628507416350001	0.0631235080641571	0	0	
0.09906877941775005	0.08703438970887503	0	0	
0.14298161908443746	0.10899080954221874	0	0	
0.16718150948093752	0.12109075474046876	0	0	
0.13674067034574997	0.10587033517287499	0	0	
0.10987216812193755	0.09243608406096877	0	0	
0.06253656846171876	0.08174022377590251	0	0	
0.020928129344000002	0.1126123932283136	0	0	
0.0	0.16821000000000003	0	0	
0.0	0.215055	0	0	
0.0	0.2972699999999999	0	0	
0.0	0.27	0	0	
0.0	0.296325	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.220725	0	0	
0.0	0.194805	0	0	
0.0	0.13851000000000002	0	0	
0.0	0.10098000000000001	0	0	
0.0	0.06101999999999999	0	0	
0.0	0.05724	0	0	
0.0	0.11286	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.00779031696671875	0.27662904909984376	0	0	
0.05628507416350001	0.1311447775095	0	0	
0.12313755883550012	0.08703438970887503	0	0	
0.21035140359711502	0.10899080954221874	0	0	
0.2542745996385273	0.12109075474046876	0	0	
0.19336921318687184	0.10587033517287499	0	0	
0.1406642925736084	0.09243608406096877	0	0	
0.06253656846171876	0.11239029461484373	0	0	
0.020928129344000002	0.237215611968	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.20911499999999997	0	0	
0.0	0.16388999999999998	0	0	
0.0	0.07398000000000002	0	0	
0.0	0.0675	0	0	
0.0	0.013364999999999998	0	0	
0.0	-0.0033750000000000004	0	0	
0.0	0.052245	0	0	
0.0	0.16537500000000002	0	0	
0.0	0.26217	0	0	
0.00779031696671875	0.27662904909984376	0	0	
0.05628507416350001	0.1311447775095	0	0	
0.10050087179310618	0.08703438970887503	0	0	
0.14845413942073468	0.10899080954221874	0	0	
0.17344063397469317	0.12109075474046876	0	0	
0.13783965427790432	0.10587033517287499	0	0	
0.10996981019267897	0.09243608406096877	0	0	
0.06253656846171876	0.10311999423667015	0	0	
0.020928129344000002	0.21081772471374083	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.26838	0	0	
0.0	0.23301000000000005	0	0	
0.0	0.18724499999999997	0	0	
0.0	0.15875999999999998	0	0	
0.0	0.04671	0	0	
0.0	0.028485	0	0	
0.0	0.035504999999999995	0	0	
0.0	0.06736500000000001	0	0	
0.0	0.14958	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.00779031696671875	0.27662904909984376	0	0	
0.05628507416350001	0.1311447775095	0	0	
0.11946225621840967	0.08703438970887503	0	0	
0.20513041525143022	0.10899080954221874	0	0	
0.24841185563553964	0.12109075474046876	0	0	
0.16951261816527408	0.10587033517287499	0	0	
0.12644690963029445	0.09243608406096877	0	0	
0.06253656846171876	0.11239029461484373	0	0	
0.020928129344000002	0.237215611968	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.225045	0	0	
0.0	0.158355	0	0	
0.0	0.09261	0	0	
0.0	0.007424999999999999	0	0	
0.0	0.033075	0	0	
0.0	0.182385	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.00779031696671875	0.27662904909984376	0	0	
0.05628507416350001	0.1311447775095	0	0	
0.11527428859972116	0.08703438970887503	0	0	
0.1893450833000238	0.10899080954221874	0	0	
0.2363821686482773	0.12109075474046876	0	0	
0.19292468036038246	0.10587033517287499	0	0	
0.13855103918541897	0.09243608406096877	0	0	
0.06253656846171876	0.11239029461484373	0	0	
0.020928129344000002	0.237215611968	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
0.0	0.30000000000000004	0	0	
