old_house.LTH.energy_bought	new_house.LTH.energy_bought	office.LTH.energy_bought	incinerator.LTH.energy_sold	fast_gas_boiler.LTH.energy_sold	
354.45146061737046	193.6247944940235	568.523744888606	116.60000000000001	1000	
359.8423573567982	196.5696582886094	560.1879843545923	116.60000000000001	1000	
370.62415083565355	202.4593858777812	660.1164632865652	233.20000000000002	1000	
362.537805726512	198.0420901859023	856.4733828360147	466.40000000000003	950.6532787484289	
358.49463317194125	195.83344233996291	846.9216350720444	1166.0	235.24971058394863	
431.271739154215	235.58910356687267	827.8181395441036	1166.0	328.6789822651913	
421.8376698602166	230.43559192634734	805.5307280948392	1166.0	291.80398988140314	
412.40360056621813	225.282080285822	974.2782719249834	1166.0	445.9639527770237	
314.0197350716628	171.53831603462916	932.8873649477782	1166.0	252.44541605407017	
284.36980300481054	155.3415651644067	862.8412146786618	1166.0	136.55258284787897	
238.54718071967517	130.31022291042643	754.5880733536636	1123.4454769837653	0	
199.46317935882445	108.95996039967861	662.2545116352828	970.6776513937859	0	
181.94276495568445	99.3891530672744	620.8636046580776	902.1955226810364	0	
173.8564198465429	94.97185737539553	601.7601091301367	870.5883863520751	0	
180.59504077082752	98.65293711862792	617.6796887367541	896.9276666262095	0	
196.7677309891106	107.48752850238566	655.886679792636	960.1419392841321	0	
291.1084239290952	159.02264490763906	687.7258390058706	1137.8569078426049	0	
305.9333899625213	167.12102034275028	531.7139588610203	1004.7683691662919	0	
330.1924252899459	180.3729074183869	589.0244454448429	1099.5897781531758	0	
353.10373643251353	192.888578545377	643.151016107342	1166.0	23.143331085232603	
366.58097828108276	200.25073803184176	674.9901753205767	1166.0	75.82189163350131	
385.4491168690797	210.55776131289247	719.5649982191054	1166.0	149.5718764010776	
322.1060801808043	175.955611726508	760.9559051963105	1166.0	93.01759710362285	
324.8015285505182	177.428043623801	767.3237370389576	1166.0	103.55330921327686	
324.8015285505182	177.428043623801	767.3237370389576	1166.0	103.55330921327686	
