heat_storage.energy_stored	heating.LTH.energy_bought	prices_elec.France.buying_price	PV.LVE.energy_sold	
119830.81064399937	0	0.4309200000000001	0	
119661.66997003695	0	0.4219200000000001	0	
119492.57796410471	0	0.4113	0	
119323.53461219883	0	0.41193	0	
119154.53990031965	0	0.43398000000000003	0.0040751909975	
118985.59381447174	0	0.48123	0.3950308498974999	
118816.69634066336	0	0.55539	1.3481987750575	
118647.84746490838	0	0.5766299999999999	2.4294555398000006	
118479.04717322253	0	0.57951	3.2409569943600003	
118310.29545162618	0	0.5762700000000001	3.821678740844376	
118141.59228614299	0	0.57177	4.25720917079	
117972.93766280357	0	0.5391	4.453095632257501	
117804.33156763902	0	0.46647000000000005	4.39369465271	
117635.77398668649	0	0.43200000000000005	3.980230785177501	
117467.26490598731	0	0.4192199999999999	3.3812232166843748	
117298.80431158515	0	0.41229	2.467523189034375	
117130.39218952786	0	0.45828	1.4224076483374997	
116962.0285258703	0	0.53901	0.4160750492575001	
116793.71330666821	0	0.57177	0.016273726414375002	
116625.44651798252	0	0.5709599999999999	0	
116457.22814587737	0	0.5714100000000001	0	
116289.05817642249	0.017599071678689838	0.55935	0	
116120.93659568997	0.010714022446579968	0.4903199999999999	0	
115952.86338975653	0.011669734952141813	0.43856999999999996	0	
115952.86338975653	0.011669734952141813	0.43245	0	
