heat_sink.LTH.energy_bought	old_house.LTH.energy_bought	new_house.LTH.energy_bought	office.LTH.energy_bought	biomass_plant.LTH.energy_sold	district_heating_microgrid.energy_bought	
0	284.36980300481054	155.3415651644067	671.8062593992533	446.1221174853734	{'inside': 446.1221174853734, 'outside': 1100.0}	
0	291.1084239290952	159.02264490763906	687.7258390058706	708.8699803352602	{'inside': 708.8699803352602, 'outside': 1100.0}	
0	288.41297555938127	157.55021301034608	681.3580071632236	971.6178431851467	{'inside': 971.6178431851467, 'outside': 1100.0}	
0	274.9357337108121	150.1880535238813	649.5188479499889	1211.0147079088758	{'inside': 1211.0147079088758, 'outside': 1100.0}	
1299.0180845411833	281.6743546350967	153.8691332671137	665.4384275566063	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
1147.6423962568451	369.2764266507966	201.7231699291347	681.3580071632236	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
1142.3745402020181	370.62415083565355	202.4593858777812	684.5419230845472	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	377.36277175993814	206.1404656210136	891.496457970573	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	285.71752718966746	156.07778111305313	866.0251305999852	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
1208.0723943034857	256.0675951228152	139.88103024283063	795.9789803308688	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	239.89490490453213	131.04643885907294	757.771989274987	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	223.72221468624906	122.21184747531521	719.5649982191054	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	206.20180028310907	112.641040142911	678.1740912419002	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	199.46317935882445	108.95996039967861	662.2545116352828	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	198.11545517396752	108.22374445103213	659.0705957139593	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	212.94042120739368	116.32211988614338	694.0936708485176	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	324.8015285505182	177.428043623801	767.3237370389576	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	358.49463317194125	195.83344233996291	655.886679792636	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	392.1877377933643	214.23884105612484	735.4845778257228	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	413.751324751075	226.01829623446847	786.4272325668983	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	439.3580842633566	240.00639925875154	846.9216350720444	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	466.312567960495	254.73071823168107	910.599953498514	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	397.57863453279197	217.18370485071074	939.2551967904252	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	417.7944973056458	228.2269440804079	987.0139356102773	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	432.61946333907196	236.32531951551914	1022.0370107448356	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	425.88084241478737	232.64423977228677	1006.1174311382182	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	401.62180708736275	219.39235269665016	948.8069445543956	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	394.88318616307816	215.7112729534178	932.8873649477782	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	396.23091034793504	216.44748890206426	936.0712808691017	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	477.09436143935034	260.62044582085286	936.0712808691017	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	493.26705165763343	269.4550372046106	974.2782719249834	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	504.0488451364888	275.3447647937824	1190.7845545749797	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	400.2740829025058	218.6561367480037	1136.6579839124806	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	319.41063181109047	174.48317982921506	945.6230286330721	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	246.63352582881672	134.7275186023053	773.6915688816044	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	219.6790421316783	120.00319962937577	710.013250455135	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	196.7677309891106	107.48752850238566	655.886679792636	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	181.94276495568445	99.3891530672744	620.8636046580776	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	176.5518682162568	96.44428927268851	608.1279409727838	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	176.5518682162568	96.44428927268851	608.1279409727838	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	261.45849186224285	142.82589403741653	617.6796887367541	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	264.1539402319567	144.2983259347095	433.0125652999927	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	261.45849186224285	142.82589403741653	426.64473345734564	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	262.8062160470998	143.56210998606304	429.8286493786691	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	260.1107676773859	142.08967808877009	423.4608175360222	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	253.37214675310133	138.40859834553768	407.5412379294048	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	175.20414403139986	95.70807332404202	413.9090697720518	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	176.5518682162568	96.44428927268851	417.0929856933753	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	171.16097147682908	93.49942547810258	404.3573220080813	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	167.11779892225832	91.29077763216314	394.80557424411086	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	168.46552310711525	92.02699358080963	397.9894901654344	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	169.81324729197217	92.76320952945612	401.1734060867579	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	176.5518682162568	96.44428927268851	417.0929856933753	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	268.19711278652744	146.50697378064893	442.56431306396297	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
0	268.19711278652744	146.50697378064893	442.56431306396297	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
1300.0	264.1539402319567	144.2983259347095	624.0475205794012	1300.0	{'inside': 1300.0, 'outside': 1100.0}	
