old_house.LTH.energy_bought	new_house.LTH.energy_bought	office.LTH.energy_bought	incinerator.LTH.energy_sold	fast_gas_boiler.LTH.energy_sold	
161.72690218283063	88.34591383757726	382.069910558817	116.60000000000001	515.5427265792249	
161.72690218283063	88.34591383757726	382.069910558817	116.60000000000001	515.5427265792249	
175.20414403139986	95.70807332404202	413.9090697720518	233.20000000000002	451.6212871274936	
199.46317935882445	108.95996039967861	471.2195563558743	466.40000000000003	313.24269611437734	
198.11545517396752	108.22374445103213	468.0356404345508	774.3748400595505	0	
278.9789062653828	152.39670136982076	468.0356404345508	899.4112480697544	0	
262.8062160470998	143.56210998606304	429.8286493786691	836.196975411832	0	
206.20180028310907	112.641040142911	487.1391359624917	805.9819763885118	0	
63.34303668827532	34.60214958638442	340.6790035816118	438.6241898562715	0	
17.520414403139995	9.570807332404208	232.4258622566137	259.5170839921579	0	
0	0	159.19579606617376	159.19579606617376	0	
0	0	120.98880501029197	120.98880501029197	0	
0	0	127.356636852939	127.356636852939	0	
0	0	105.0692254036746	105.0692254036746	0	
0	0	108.25314132499811	108.25314132499811	0	
0	0	133.72446869558593	133.72446869558593	0	
61.99531250341843	33.86593363773795	146.4601323808799	242.3213785220363	0	
82.21117527627226	44.90917286743511	3.1839159213235204	130.30426406503088	0	
123.99062500683681	67.73186727547589	101.88530948235118	293.6078017646639	0	
188.68138587996907	103.0702328105068	254.713273705878	546.4648923963539	0	
229.11311142567672	125.15671126990111	350.23075134558223	704.50057404116	0	
250.6766983833875	136.93616644824473	401.1734060867579	788.7862709183901	0	
181.94276495568445	99.3891530672744	429.8286493786691	711.160567401628	0	
194.07228261939676	106.01509660509271	458.4838926705804	758.5712718950699	0	
194.07228261939676	106.01509660509271	458.4838926705804	758.5712718950699	0	
