simulation_time	physical_time	national_electricity_distribution_network.energy_sold_inside	national_electricity_distribution_network.energy_sold_outside	national_electricity_distribution_network.energy_bought_inside	national_electricity_distribution_network.energy_bought_outside	national_electricity_distribution_network.energy_erased_consumption	national_electricity_distribution_network.energy_erased_production	national_electricity_distribution_network.money_spent_inside	national_electricity_distribution_network.money_spent_outside	national_electricity_distribution_network.money_earned_inside	national_electricity_distribution_network.money_earned_outside	national_gas_distribution_network.energy_sold_inside	national_gas_distribution_network.energy_sold_outside	national_gas_distribution_network.energy_bought_inside	national_gas_distribution_network.energy_bought_outside	national_gas_distribution_network.energy_erased_consumption	national_gas_distribution_network.energy_erased_production	national_gas_distribution_network.money_spent_inside	national_gas_distribution_network.money_spent_outside	national_gas_distribution_network.money_earned_inside	national_gas_distribution_network.money_earned_outside	electric_microgrid.energy_sold_inside	electric_microgrid.energy_sold_outside	electric_microgrid.energy_bought_inside	electric_microgrid.energy_bought_outside	electric_microgrid.energy_erased_consumption	electric_microgrid.energy_erased_production	electric_microgrid.money_spent_inside	electric_microgrid.money_spent_outside	electric_microgrid.money_earned_inside	electric_microgrid.money_earned_outside	district_heating_network.energy_sold_inside	district_heating_network.energy_sold_outside	district_heating_network.energy_bought_inside	district_heating_network.energy_bought_outside	district_heating_network.energy_erased_consumption	district_heating_network.energy_erased_production	district_heating_network.money_spent_inside	district_heating_network.money_spent_outside	district_heating_network.money_earned_inside	district_heating_network.money_earned_outside	
0	2021-01-01 00:00:00	11183.406268339737	0	0	0	0.0	0	0	0	2460.3493790347425	0	0	0	0	0	0	0	0	0	0	0	11183.406268339737	0	0	11183.406268339737	0.0	0	0	2460.3493790347425	2236.6812536679477	0	0	0	0	0	0	0	0	0	0	0	
1	2021-01-01 01:00:00	10910.391922052198	0	0	0	0.0	0	0	0	2043.8437187580387	0	0	0	0	0	0	0	0	0	0	0	10910.391922052198	0	0	10910.391922052198	0.0	0	0	2043.8437187580387	2182.07838441044	0	0	0	0	0	0	0	0	0	0	0	
2	2021-01-01 02:00:00	10169.782147280748	0	0	0	0.0	0	0	0	1733.9478561113676	0	0	0	0	0	0	0	0	0	0	0	10169.782147280748	0	0	10169.782147280748	0.0	0	0	1733.9478561113676	2033.9564294561496	0	0	0	0	0	0	0	0	0	0	0	
3	2021-01-01 03:00:00	9357.698398849481	0	0	0	0.0	0	0	0	1443.144247070567	0	0	0	0	0	0	0	0	0	0	0	9357.698398849481	0	0	9357.698398849481	0.0	0	0	1443.144247070567	1871.5396797698963	0	0	0	0	0	0	0	0	0	0	0	
4	2021-01-01 04:00:00	8528.878820534404	0	0	0	0.0	0	0	0	802.1410530712608	0	0	0	0	0	0	0	0	0	0	0	8528.878820534404	0	0	8528.878820534404	0.0	0	0	802.1410530712608	1705.775764106881	0	0	0	0	0	0	0	0	0	0	0	
5	2021-01-01 05:00:00	7775.441284816152	0	0	0	0.0	0	0	0	585.0242022695674	0	0	0	0	0	0	0	0	0	0	0	7775.441284816152	0	0	7775.441284816152	0.0	0	0	585.0242022695674	1399.5794312669072	0	0	0	0	0	0	0	0	0	0	0	
6	2021-01-01 06:00:00	8541.69499118516	0	0	0	0.0	0	0	0	628.583334401316	0	0	0	0	0	0	0	0	0	0	0	8541.69499118516	0	0	8541.69499118516	0.0	0	0	628.583334401316	1537.5050984133288	0	0	0	0	0	0	0	0	0	0	0	
7	2021-01-01 07:00:00	10139.370269341212	0	0	0	0.0	0	0	0	973.6837269648366	0	0	0	0	0	0	0	0	0	0	0	10139.370269341212	0	0	10139.370269341212	0.0	0	0	973.6837269648366	1825.0866484814183	0	0	0	0	0	0	0	0	0	0	0	
8	2021-01-01 08:00:00	10234.794649000616	0	0	0	0.0	0	0	0	1715.7609749584633	0	0	0	0	0	0	0	0	0	0	0	10234.794649000616	0	0	10234.794649000616	0.0	0	0	1715.7609749584633	1842.2630368201108	0	0	0	0	0	0	0	0	0	0	0	
9	2021-01-01 09:00:00	7760.130166229426	0	0	0	0.0	0	0	0	1114.8202996805194	0	0	0	0	0	0	0	0	0	0	0	7760.130166229426	0	0	7760.130166229426	0.0	0	0	1114.8202996805194	1552.0260332458854	0	0	0	0	0	0	0	0	0	0	0	
10	2021-01-01 10:00:00	6645.983548843672	0	0	0	0.0	0	0	0	973.769509576575	0	0	0	0	0	0	0	0	0	0	0	6645.983548843672	0	0	6645.983548843672	0.0	0	0	973.769509576575	1329.1967097687345	0	0	0	0	0	0	0	0	0	0	0	
11	2021-01-01 11:00:00	5525.956028777759	0	0	0	0.0	0	0	0	766.5053607517629	0	0	0	0	0	0	0	0	0	0	0	5525.956028777759	0	0	5525.956028777759	0.0	0	0	766.5053607517629	1105.1912057555517	0	0	0	0	0	0	0	0	0	0	0	
12	2021-01-01 12:00:00	4958.620422481906	0	0	0	0.0	0	0	0	785.990923167607	0	0	0	0	0	0	0	0	0	0	0	4958.620422481906	0	0	4958.620422481906	0.0	0	0	785.990923167607	991.7240844963812	0	0	0	0	0	0	0	0	0	0	0	
13	2021-01-01 13:00:00	6782.513266832065	0	0	0	0.0	0	0	0	1084.7951718971206	0	0	0	0	0	0	0	0	0	0	0	6782.513266832065	0	0	6782.513266832065	0.0	0	0	1084.7951718971206	1356.5026533664131	0	0	0	0	0	0	0	0	0	0	0	
14	2021-01-01 14:00:00	7889.940795587172	0	0	0	0.0	0	0	0	1053.622693842711	0	0	0	0	0	0	0	0	0	0	0	7889.940795587172	0	0	7889.940795587172	0.0	0	0	1053.622693842711	1577.9881591174344	0	0	0	0	0	0	0	0	0	0	0	
15	2021-01-01 15:00:00	8862.171139526597	0	0	0	0.0	0	0	0	1202.9511104793403	0	0	0	0	0	0	0	0	0	0	0	8862.171139526597	0	0	8862.171139526597	0.0	0	0	1202.9511104793403	1772.4342279053196	0	0	0	0	0	0	0	0	0	0	0	
16	2021-01-01 16:00:00	11278.024461909694	0	0	0	0.0	0	0	0	1446.5194174845374	0	0	0	0	0	0	0	0	0	0	0	11278.024461909694	0	0	11278.024461909694	0.0	0	0	1446.5194174845374	2255.604892381939	0	0	0	0	0	0	0	0	0	0	0	
17	2021-01-01 17:00:00	12309.36915419708	0	0	0	0.0	0	0	0	1631.606881388823	0	0	0	0	0	0	0	0	0	0	0	12309.36915419708	0	0	12309.36915419708	0.0	0	0	1631.606881388823	2215.6864477554745	0	0	0	0	0	0	0	0	0	0	0	
18	2021-01-01 18:00:00	13559.65468739931	0	0	0	0.0	0	0	0	2669.8960079489243	0	0	0	0	0	0	0	0	0	0	0	13559.65468739931	0	0	13559.65468739931	0.0	0	0	2669.8960079489243	2440.7378437318757	0	0	0	0	0	0	0	0	0	0	0	
19	2021-01-01 19:00:00	16157.421654726826	0	0	0	0.0	0	0	0	3913.650673207932	0	0	0	0	0	0	0	0	0	0	0	16157.421654726826	0	0	16157.421654726826	0.0	0	0	3913.650673207932	2908.3358978508286	0	0	0	0	0	0	0	0	0	0	0	
20	2021-01-01 20:00:00	18064.418300627258	0	0	0	0.0	0	0	0	4286.144530189829	0	0	0	0	0	0	0	0	0	0	0	18064.418300627258	0	0	18064.418300627258	0.0	0	0	4286.144530189829	3251.5952941129062	0	0	0	0	0	0	0	0	0	0	0	
21	2021-01-01 21:00:00	17796.243430068746	0	0	0	0.0	0	0	0	4022.8408273670398	0	0	0	0	0	0	0	0	0	0	0	17796.243430068746	0	0	17796.243430068746	0.0	0	0	4022.8408273670398	3559.248686013749	0	0	0	0	0	0	0	0	0	0	0	
22	2021-01-01 22:00:00	16385.74970442405	0	0	0	0.0	0	0	0	4096.437426106013	0	0	0	0	0	0	0	0	0	0	0	16385.74970442405	0	0	16385.74970442405	0.0	0	0	4096.437426106013	3277.1499408848103	0	0	0	0	0	0	0	0	0	0	0	
23	2021-01-01 23:00:00	15841.709423431925	0	0	0	0.0	0	0	0	3567.0777108741668	0	0	0	0	0	0	0	0	0	0	0	15841.709423431925	0	0	15841.709423431925	0.0	0	0	3567.0777108741668	3168.341884686385	0	0	0	0	0	0	0	0	0	0	0	
24	2021-01-02 00:00:00	12793.277808775463	0	0	0	0.0	0	0	0	2814.5211179306025	0	0	0	0	0	0	0	0	0	0	0	12793.277808775463	0	0	12793.277808775463	0.0	0	0	2814.5211179306025	2558.6555617550925	0	0	0	0	0	0	0	0	0	0	0	
25	2021-01-02 01:00:00	12351.189338042544	0	0	0	0.0	0	0	0	2313.74829869551	0	0	0	0	0	0	0	0	0	0	0	12351.189338042544	0	0	12351.189338042544	0.0	0	0	2313.74829869551	2470.237867608509	0	0	0	0	0	0	0	0	0	0	0	
26	2021-01-02 02:00:00	11700.902573681593	0	0	0	0.0	0	0	0	1995.0038888127117	0	0	0	0	0	0	0	0	0	0	0	11700.902573681593	0	0	11700.902573681593	0.0	0	0	1995.0038888127117	2340.1805147363184	0	0	0	0	0	0	0	0	0	0	0	
27	2021-01-02 03:00:00	10841.709154409897	0	0	0	0.0	0	0	0	1672.0083857930942	0	0	0	0	0	0	0	0	0	0	0	10841.709154409897	0	0	10841.709154409897	0.0	0	0	1672.0083857930942	2168.341830881979	0	0	0	0	0	0	0	0	0	0	0	
28	2021-01-02 04:00:00	10036.560500889087	0	0	0	0.0	0	0	0	943.9385151086187	0	0	0	0	0	0	0	0	0	0	0	10036.560500889087	0	0	10036.560500889087	0.0	0	0	943.9385151086187	2007.3121001778175	0	0	0	0	0	0	0	0	0	0	0	
29	2021-01-02 05:00:00	9271.696479439117	0	0	0	0.0	0	0	0	697.6024431129993	0	0	0	0	0	0	0	0	0	0	0	9271.696479439117	0	0	9271.696479439117	0.0	0	0	697.6024431129993	1668.905366299041	0	0	0	0	0	0	0	0	0	0	0	
30	2021-01-02 06:00:00	10043.468439719116	0	0	0	0.0	0	0	0	739.0988424789298	0	0	0	0	0	0	0	0	0	0	0	10043.468439719116	0	0	10043.468439719116	0.0	0	0	739.0988424789298	1807.8243191494407	0	0	0	0	0	0	0	0	0	0	0	
31	2021-01-02 07:00:00	11638.649627672105	0	0	0	0.0	0	0	0	1117.6595237453523	0	0	0	0	0	0	0	0	0	0	0	11638.649627672105	0	0	11638.649627672105	0.0	0	0	1117.6595237453523	2094.9569329809788	0	0	0	0	0	0	0	0	0	0	0	
