simulation_time	physical_time	mean_national_grid.energy_sold_inside	min_national_grid.energy_sold_inside	max_national_grid.energy_sold_inside	sum_national_grid.energy_sold_inside	mean_national_grid.energy_sold_outside	min_national_grid.energy_sold_outside	max_national_grid.energy_sold_outside	sum_national_grid.energy_sold_outside	mean_national_grid.energy_bought_inside	min_national_grid.energy_bought_inside	max_national_grid.energy_bought_inside	sum_national_grid.energy_bought_inside	mean_national_grid.energy_bought_outside	min_national_grid.energy_bought_outside	max_national_grid.energy_bought_outside	sum_national_grid.energy_bought_outside	mean_national_grid.money_spent_inside	min_national_grid.money_spent_inside	max_national_grid.money_spent_inside	sum_national_grid.money_spent_inside	mean_national_grid.money_spent_outside	min_national_grid.money_spent_outside	max_national_grid.money_spent_outside	sum_national_grid.money_spent_outside	mean_national_grid.money_earned_inside	min_national_grid.money_earned_inside	max_national_grid.money_earned_inside	sum_national_grid.money_earned_inside	mean_national_grid.money_earned_outside	min_national_grid.money_earned_outside	max_national_grid.money_earned_outside	sum_national_grid.money_earned_outside	mean_full_elec_renewable_district.energy_sold_inside	min_full_elec_renewable_district.energy_sold_inside	max_full_elec_renewable_district.energy_sold_inside	sum_full_elec_renewable_district.energy_sold_inside	mean_full_elec_renewable_district.energy_sold_outside	min_full_elec_renewable_district.energy_sold_outside	max_full_elec_renewable_district.energy_sold_outside	sum_full_elec_renewable_district.energy_sold_outside	mean_full_elec_renewable_district.energy_bought_inside	min_full_elec_renewable_district.energy_bought_inside	max_full_elec_renewable_district.energy_bought_inside	sum_full_elec_renewable_district.energy_bought_inside	mean_full_elec_renewable_district.energy_bought_outside	min_full_elec_renewable_district.energy_bought_outside	max_full_elec_renewable_district.energy_bought_outside	sum_full_elec_renewable_district.energy_bought_outside	mean_full_elec_renewable_district.money_spent_inside	min_full_elec_renewable_district.money_spent_inside	max_full_elec_renewable_district.money_spent_inside	sum_full_elec_renewable_district.money_spent_inside	mean_full_elec_renewable_district.money_spent_outside	min_full_elec_renewable_district.money_spent_outside	max_full_elec_renewable_district.money_spent_outside	sum_full_elec_renewable_district.money_spent_outside	mean_full_elec_renewable_district.money_earned_inside	min_full_elec_renewable_district.money_earned_inside	max_full_elec_renewable_district.money_earned_inside	sum_full_elec_renewable_district.money_earned_inside	mean_full_elec_renewable_district.money_earned_outside	min_full_elec_renewable_district.money_earned_outside	max_full_elec_renewable_district.money_earned_outside	sum_full_elec_renewable_district.money_earned_outside	mean_DHN_bound_renewable_district.energy_sold_inside	min_DHN_bound_renewable_district.energy_sold_inside	max_DHN_bound_renewable_district.energy_sold_inside	sum_DHN_bound_renewable_district.energy_sold_inside	mean_DHN_bound_renewable_district.energy_sold_outside	min_DHN_bound_renewable_district.energy_sold_outside	max_DHN_bound_renewable_district.energy_sold_outside	sum_DHN_bound_renewable_district.energy_sold_outside	mean_DHN_bound_renewable_district.energy_bought_inside	min_DHN_bound_renewable_district.energy_bought_inside	max_DHN_bound_renewable_district.energy_bought_inside	sum_DHN_bound_renewable_district.energy_bought_inside	mean_DHN_bound_renewable_district.energy_bought_outside	min_DHN_bound_renewable_district.energy_bought_outside	max_DHN_bound_renewable_district.energy_bought_outside	sum_DHN_bound_renewable_district.energy_bought_outside	mean_DHN_bound_renewable_district.money_spent_inside	min_DHN_bound_renewable_district.money_spent_inside	max_DHN_bound_renewable_district.money_spent_inside	sum_DHN_bound_renewable_district.money_spent_inside	mean_DHN_bound_renewable_district.money_spent_outside	min_DHN_bound_renewable_district.money_spent_outside	max_DHN_bound_renewable_district.money_spent_outside	sum_DHN_bound_renewable_district.money_spent_outside	mean_DHN_bound_renewable_district.money_earned_inside	min_DHN_bound_renewable_district.money_earned_inside	max_DHN_bound_renewable_district.money_earned_inside	sum_DHN_bound_renewable_district.money_earned_inside	mean_DHN_bound_renewable_district.money_earned_outside	min_DHN_bound_renewable_district.money_earned_outside	max_DHN_bound_renewable_district.money_earned_outside	sum_DHN_bound_renewable_district.money_earned_outside	mean_district_heating_network.energy_sold_inside	min_district_heating_network.energy_sold_inside	max_district_heating_network.energy_sold_inside	sum_district_heating_network.energy_sold_inside	mean_district_heating_network.energy_sold_outside	min_district_heating_network.energy_sold_outside	max_district_heating_network.energy_sold_outside	sum_district_heating_network.energy_sold_outside	mean_district_heating_network.energy_bought_inside	min_district_heating_network.energy_bought_inside	max_district_heating_network.energy_bought_inside	sum_district_heating_network.energy_bought_inside	mean_district_heating_network.energy_bought_outside	min_district_heating_network.energy_bought_outside	max_district_heating_network.energy_bought_outside	sum_district_heating_network.energy_bought_outside	mean_district_heating_network.money_spent_inside	min_district_heating_network.money_spent_inside	max_district_heating_network.money_spent_inside	sum_district_heating_network.money_spent_inside	mean_district_heating_network.money_spent_outside	min_district_heating_network.money_spent_outside	max_district_heating_network.money_spent_outside	sum_district_heating_network.money_spent_outside	mean_district_heating_network.money_earned_inside	min_district_heating_network.money_earned_inside	max_district_heating_network.money_earned_inside	sum_district_heating_network.money_earned_inside	mean_district_heating_network.money_earned_outside	min_district_heating_network.money_earned_outside	max_district_heating_network.money_earned_outside	sum_district_heating_network.money_earned_outside	mean_old_district.energy_sold_inside	min_old_district.energy_sold_inside	max_old_district.energy_sold_inside	sum_old_district.energy_sold_inside	mean_old_district.energy_sold_outside	min_old_district.energy_sold_outside	max_old_district.energy_sold_outside	sum_old_district.energy_sold_outside	mean_old_district.energy_bought_inside	min_old_district.energy_bought_inside	max_old_district.energy_bought_inside	sum_old_district.energy_bought_inside	mean_old_district.energy_bought_outside	min_old_district.energy_bought_outside	max_old_district.energy_bought_outside	sum_old_district.energy_bought_outside	mean_old_district.money_spent_inside	min_old_district.money_spent_inside	max_old_district.money_spent_inside	sum_old_district.money_spent_inside	mean_old_district.money_spent_outside	min_old_district.money_spent_outside	max_old_district.money_spent_outside	sum_old_district.money_spent_outside	mean_old_district.money_earned_inside	min_old_district.money_earned_inside	max_old_district.money_earned_inside	sum_old_district.money_earned_inside	mean_old_district.money_earned_outside	min_old_district.money_earned_outside	max_old_district.money_earned_outside	sum_old_district.money_earned_outside	
264	2019-03-12 00:00:00	46618.810482142726	25074.123836061128	76191.50333083145	1118851.4515714254	0.0	0	0	0	1554.7633310871504	0	13230.494816485729	37314.31994609161	0.0	0	0	0	155.47633310871507	0	1323.049481648573	3731.4319946091614	0.0	0	0	0	6992.82157232141	3761.118575409169	11428.725499624717	167827.7177357138	0.0	0	0	0	20379.6080135681	11537.487223882907	28275.427550990273	489110.5923256343	1554.7633310871504	0	13230.494816485729	37314.31994609161	7570.750855522786	0	25100.454166242926	181698.02053254689	14363.620489132474	0	28275.4275509905	344726.89173917944	757.0750855523307	0	2510.045416624933	18169.80205325593	2154.543073369872	0	4241.314132648575	51709.03376087691	3007.0341356473914	1642.9045002755117	4222.1636285543655	72168.81925553741	155.47633310871507	0	1323.049481648573	3731.4319946091614	6154.163555748177	3068.564503737654	8599.112066928637	147699.92533795626	0.0	0	0	0	0.0	0	0	0	6154.16355574817	3068.5645037376667	8599.112066928601	147699.9253379561	0.0	0	0	0	923.1245333622254	460.28467556065	1289.8668100392902	22154.988800693412	869.968015328997	416.009378864357	1214.8043982512906	20879.232367895926	0.0	0	0	0	3092.418229325687	1851.8864204697745	13545.555299647429	74218.03750381648	0.0	0	0	0	1675.7515626590318	0	13545.555299647429	40218.03750381676	1416.6666666666545	0	2000.0	33999.99999999971	172.38761768107767	0	1405.5081037570667	4137.302824345864	40.476190476190126	0	57.142857142857146	971.428571428563	295.83677299443747	172.64047846308756	1192.787132349025	7100.082551866499	0.0	0	0	0	26101.097985872955	18104.983368668458	39701.76076146604	626426.351660951	0.0	0	0	0	0.07154861081434762	0.005164411006148399	0.19796908856902196	1.7171666595443429	26101.026437262077	18104.835322219682	39701.62820825027	626424.63449429	0.0071548610814347645	0.00051644110061484	0.019796908856902197	0.17171666595443427	3915.1539655893116	2715.725298332952	5955.244231237541	93963.69517414348	3851.5414457718393	2669.139415133369	5866.908089633515	92436.99469852415	0.0	0	0	0	
288	2019-03-13 00:00:00	46534.66808830808	24320.77990979854	77259.1471880998	1116832.0341193937	0.0	0	0	0	1638.4046948839095	0	13540.056119943623	39321.71267721383	0.0	0	0	0	163.840469488391	0	1354.0056119943624	3932.1712677213827	0.0	0	0	0	6980.20021324621	3648.1169864697813	11588.872078214968	167524.80511790907	0.0	0	0	0	20348.097308286764	11227.925920425012	28675.38192605578	488354.33539888245	1638.4046948839095	0	13540.056119943623	39321.71267721383	7570.750855522786	0	25100.454166242926	181698.02053254689	14415.751147647901	0	28675.381926055943	345978.02754354966	757.0750855523307	0	2510.045416624933	18169.80205325593	2162.362672147186	0	4301.3072889083915	51896.70413153245	3003.9398905800053	1599.9475845636957	4282.250918941791	72094.55737392012	163.840469488391	0	1354.0056119943624	3932.1712677213827	6136.7198987518805	3062.5938292862847	8650.96419242488	147281.2775700451	0.0	0	0	0	0.0	0	0	0	6136.719898751876	3062.5938292862847	8650.964192424832	147281.277570045	0.0	0	0	0	920.5079848127812	459.3890743929427	1297.6446288637246	22092.19163550675	868.4657037088349	416.05313488242416	1224.391043096784	20843.176889012037	0.0	0	0	0	3092.4182293256904	1851.8864204697745	13545.555299647429	74218.03750381657	0.0	0	0	0	1675.7515626590318	0	13545.555299647429	40218.03750381676	1416.6666666666586	0	2000.0	33999.999999999796	172.38761768107767	0	1405.5081037570667	4137.302824345864	40.47619047619023	0	57.142857142857146	971.4285714285656	295.8367729944376	172.64047846308756	1192.787132349025	7100.082551866506	0.0	0	0	0	25982.268590519187	17530.678529020726	40062.828366747606	623574.4461724604	0.0	0	0	0	0.07154861081434762	0.005164411006148399	0.19796908856902196	1.7171666595443429	25982.19704190829	17530.530482571943	40062.69581353172	623572.7290057989	0.0071548610814347645	0.00051644110061484	0.019796908856902197	0.17171666595443427	3897.3295562862445	2629.5795723857914	6009.404372029758	93535.90935086984	3836.2069735556765	2583.463200210118	5925.973494142925	92068.96736533626	0.0	0	0	0	
312	2019-03-14 00:00:00	41848.89932803025	14476.60776442581	73446.05806559324	1004373.5838727263	0.0	0	0	0	2535.2668654981267	0	17764.256686601104	60846.40477195505	0.0	0	0	0	253.52668654981275	0	1776.4256686601104	6084.640477195505	0.0	0	0	0	6277.334899204539	2171.491164663871	11016.908709838985	150656.03758090895	0.0	0	0	0	18796.98180596524	7003.725353767531	27563.8886899377	451127.56334316573	2535.2668654981267	0	17764.256686601104	60846.40477195505	7570.750855522786	0	25100.454166242926	181698.02053254689	13761.497815940587	0	27563.888689937627	330275.9475825741	757.0750855523307	0	2510.045416624933	18169.80205325593	2064.2246723910885	0	4134.583303490644	49541.392137386116	2776.623273545062	1000.7368356991193	4116.030751270855	66638.9585650815	253.52668654981275	0	1776.4256686601104	6084.640477195505	4657.836066173497	3022.228617991063	7335.128975525766	111788.0655881639	0.0	0	0	0	0.0	0	0	0	4657.836066173495	3022.228617991071	7335.128975525763	111788.06558816392	0.0	0	0	0	698.6754099260246	453.33429269866065	1100.2693463288645	16768.20983822459	653.964166827238	409.4284498525735	1036.4094420866406	15695.140003853712	0.0	0	0	0	3092.4182293256763	1851.8864204697745	13545.555299647429	74218.03750381626	0.0	0	0	0	1675.7515626590318	0	13545.555299647429	40218.03750381676	1416.6666666666451	0	2000.0	33999.99999999948	172.38761768107767	0	1405.5081037570667	4137.302824345864	40.47619047618985	0	57.142857142857146	971.4285714285564	295.83677299443644	172.64047846308756	1192.787132349025	7100.082551866473	0.0	0	0	0	23429.620748150734	11057.267549820164	38636.6727782581	562310.8979556176	0.0	0	0	0	0.05530223452417245	0.004303675838457	0.1910832072274908	1.3272536285801386	23429.565445916174	11057.078188083382	38636.593590622404	562309.5707019884	0.005530223452417245	0.0004303675838457	0.01910832072274908	0.13272536285801387	3514.4348168874253	1658.5617282125072	5795.48903859336	84346.43560529825	3458.1901427388116	1633.7945007054373	5706.459719706316	82996.56342573148	0.0	0	0	0	
336	2019-03-15 00:00:00	42528.704963670374	14578.859826012073	76917.18138693736	1020688.9191280889	0.0	0	0	0	2511.951336049353	0	17676.793583312312	60286.83206518446	0.0	0	0	0	251.19513360493522	0	1767.6793583312312	6028.683206518447	0.0	0	0	0	6379.305744550556	2186.828973901811	11537.577208040604	153103.33786921334	0.0	0	0	0	18987.91288694276	7091.188457056324	28431.082349623917	455709.909286626	2511.951336049353	0	17676.793583312312	60286.83206518446	7570.750855522786	0	25100.454166242926	181698.02053254689	13929.113367469336	0	28431.082349623877	334298.720819264	757.0750855523307	0	2510.045416624933	18169.80205325593	2089.3670051204003	0	4264.662352443582	50144.80812288961	2805.6294645744965	1012.894093202205	4240.400009260379	67335.10714978792	251.19513360493522	0	1767.6793583312312	6028.683206518447	4867.551944535471	2819.3024028822465	8241.118661977756	116821.24666885126	0.0	0	0	0	0.0	0	0	0	4867.551944535471	2819.30240288226	8241.118661977758	116821.2466688513	0.0	0	0	0	730.1327916803208	422.89536043233903	1236.1677992966636	17523.1870003277	685.2691265552	381.12531891029056	1167.0685309512075	16446.4590373248	0.0	0	0	0	3092.4182293256754	1851.8864204697745	13545.555299647429	74218.03750381622	0.0	0	0	0	1675.7515626590318	0	13545.555299647429	40218.03750381676	1416.6666666666433	0	2000.0	33999.99999999943	172.38761768107767	0	1405.5081037570667	4137.302824345864	40.476190476189814	0	57.142857142857146	971.4285714285553	295.8367729944363	172.64047846308756	1192.787132349025	7100.082551866472	0.0	0	0	0	23732.094953900112	11125.202735561219	40248.45802573591	569570.2788936028	0.0	0	0	0	0.05530223452417245	0.004303675838457	0.1910832072274908	1.3272536285801386	23732.039651665564	11125.013373824417	40248.37883810017	569568.9516399737	0.005530223452417245	0.0004303675838457	0.01910832072274908	0.13272536285801387	3559.805947749835	1668.7520060736624	6037.256825715026	85435.34274599604	3503.738582791293	1644.3357393324764	5938.226901525581	84089.72598699102	0.0	0	0	0	
360	2019-03-16 00:00:00	41884.47649636174	14674.287022476967	73456.94207344111	1005227.4359126814	0.0	0	0	0	2480.8231480637087	0	17730.188232648758	59539.755553529	0.0	0	0	0	248.08231480637085	0	1773.018823264876	5953.9755553529	0.0	0	0	0	6282.671474454259	2201.1430533715447	11018.541311016164	150784.11538690218	0.0	0	0	0	18851.932117780132	7037.793807719879	27563.8886899377	452446.3708267231	2480.8231480637087	0	17730.188232648758	59539.755553529	7570.750855522786	0	25100.454166242926	181698.02053254689	13762.004410321053	0	27563.888689937627	330288.10584770533	757.0750855523307	0	2510.045416624933	18169.80205325593	2064.300661548158	0	4134.583303490644	49543.215877155795	2784.1415280381066	1005.4520695043102	4116.030751270855	66819.39667291455	248.08231480637085	0	1773.018823264876	5953.9755553529	4697.404185899013	2968.5521196850773	7338.931725360345	112737.70046157631	0.0	0	0	0	0.0	0	0	0	4697.404185899015	2968.552119685091	7338.931725360341	112737.70046157637	0.0	0	0	0	704.6106278848523	445.28281795276365	1100.8397588040511	16910.655069236454	659.6581848306146	401.9752274984004	1036.922813314309	15831.796435934757	0.0	0	0	0	3092.4182293256786	1851.8864204697745	13545.555299647429	74218.03750381629	0.0	0	0	0	1675.7515626590318	0	13545.555299647429	40218.03750381676	1416.6666666666465	0	2000.0	33999.99999999951	172.38761768107767	0	1405.5081037570667	4137.302824345864	40.47619047618989	0	57.142857142857146	971.4285714285572	295.8367729944365	172.64047846308756	1192.787132349025	7100.082551866478	0.0	0	0	0	23425.12320237622	11176.97863385603	38643.754036271406	562202.9568570293	0.0	0	0	0	0.05530223452417245	0.004303675838457	0.1910832072274908	1.3272536285801386	23425.067900141657	11176.789272119233	38643.674848635696	562201.6296033999	0.005530223452417245	0.0004303675838457	0.01910832072274908	0.13272536285801387	3513.7601850212486	1676.518390817885	5796.551227295354	84330.24444050997	3457.5156399629946	1650.4889381667313	5707.415689538115	82980.37535911187	0.0	0	0	0	
384	2019-03-17 00:00:00	41794.4008328315	14444.579031512214	75010.38472984504	1003065.619987956	0.0	0	0	0	2552.1953802622234	0	17763.87303019267	61252.68912629338	0.0	0	0	0	255.21953802622247	0	1776.3873030192672	6125.268912629339	0.0	0	0	0	6269.160124924727	2166.686854726832	11251.557709476758	150459.84299819343	0.0	0	0	0	18792.00954895301	7004.109010175966	27992.376857378054	451008.2291748725	2552.1953802622234	0	17763.87303019267	61252.68912629338	7570.750855522786	0	25100.454166242926	181698.02053254689	13773.454073692468	0	27992.376857377985	330562.89776861924	757.0750855523307	0	2510.045416624933	18169.80205325593	2066.0181110538697	0	4198.856528606698	49584.43466529287	2777.067732653458	1000.7828744681316	4180.303976386909	66649.62558368301	255.21953802622247	0	1776.3873030192672	6125.268912629339	4660.430618584594	2819.3024028822465	7756.929843214506	111850.33484603028	0.0	0	0	0	0.0	0	0	0	4660.430618584596	2819.30240288226	7756.9298432145	111850.33484603031	0.0	0	0	0	699.0645927876897	422.89536043233903	1163.539476482175	16777.550226904546	655.3504779714957	381.12531891029056	1099.6850757977315	15728.4114713159	0.0	0	0	0	3092.4182293256767	1851.8864204697745	13545.555299647429	74218.0375038163	0.0	0	0	0	1675.7515626590318	0	13545.555299647429	40218.03750381676	1416.6666666666465	0	2000.0	33999.999999999505	172.38761768107767	0	1405.5081037570667	4137.302824345864	40.476190476189885	0	57.142857142857146	971.4285714285572	295.83677299443656	172.64047846308756	1192.787132349025	7100.082551866478	0.0	0	0	0	23360.571442788998	11033.979823447602	39359.83892287558	560653.7146269359	0.0	0	0	0	0.05530223452417245	0.004303675838457	0.1910832072274908	1.3272536285801386	23360.516140554442	11033.790461710814	39359.75973523986	560652.3873733066	0.005530223452417245	0.0004303675838457	0.01910832072274908	0.13272536285801387	3504.0774210831655	1655.0685692566221	5903.963960285979	84097.858105996	3450.069731772376	1630.6523025154365	5814.934641398971	82801.67356253705	0.0	0	0	0	
408	2019-03-18 00:00:00	42317.27261570414	15790.566121206115	74338.05302532495	1015614.5427768995	0.0	0	0	0	2303.1141657738044	0	16823.190037251716	55274.73997857129	0.0	0	0	0	230.31141657738036	0	1682.3190037251716	5527.47399785713	0.0	0	0	0	6347.5908923556235	2368.584918180917	11150.707953798741	152342.1814165349	0.0	0	0	0	19034.44072100514	7944.792003116919	27597.249000046548	456826.5773041234	2303.1141657738044	0	16823.190037251716	55274.73997857129	7570.750855522786	0	25100.454166242926	181698.02053254689	13766.80403125616	0	27597.2490000465	330403.2967501479	757.0750855523307	0	2510.045416624933	18169.80205325593	2065.020604688424	0	4139.587350006975	49560.49451252217	2809.763503929484	1132.5334604414932	4120.874498341171	67434.3240943076	230.31141657738036	0	1682.3190037251716	5527.47399785713	4848.834255895715	2927.566933708506	7642.423307429541	116372.0221414971	0.0	0	0	0	0.0	0	0	0	4848.834255895716	2927.5669337085237	7642.423307429571	116372.02214149722	0.0	0	0	0	727.3251383843575	439.13504005627857	1146.3634961144355	17455.80332122458	681.5373346740629	395.84167608097624	1078.1129683152851	16356.896032177508	0.0	0	0	0	3092.418229325673	1851.8864204697745	13545.555299647429	74218.03750381617	0.0	0	0	0	1675.7515626590318	0	13545.555299647429	40218.03750381676	1416.6666666666406	0	2000.0	33999.999999999374	172.38761768107767	0	1405.5081037570667	4137.302824345864	40.47619047618974	0	57.142857142857146	971.4285714285534	295.83677299443605	172.64047846308756	1192.787132349025	7100.082551866463	0.0	0	0	0	23701.689630786816	11881.96750788093	39202.022137302425	568840.5511388837	0.0	0	0	0	0.05530223452417245	0.004303675838457	0.1910832072274908	1.3272536285801386	23701.634328552263	11881.77814614417	39201.94294966699	568839.2238852544	0.005530223452417245	0.0004303675838457	0.01910832072274908	0.13272536285801387	3555.2451492828404	1782.2667219216255	5880.291442450049	85325.88358278814	3497.496207856976	1757.472187741077	5783.3080975502	83939.9089885674	0.0	0	0	0	
432	2019-03-19 00:00:00	46750.974253493216	25041.97609410245	77756.16137378593	1122023.3820838372	0.0	0	0	0	1566.4080940271679	0	13230.494816485729	37593.79425665202	0.0	0	0	0	156.64080940271677	0	1323.049481648573	3759.379425665203	0.0	0	0	0	7012.6461380239825	3756.2964141153675	11663.424206067888	168303.50731257556	0.0	0	0	0	20409.9996744925	11537.487223882907	28694.751677786662	489839.99218782026	1566.4080940271679	0	13230.494816485729	37593.79425665202	7570.750855522786	0	25100.454166242926	181698.02053254689	14405.656912996896	0	28694.751677786862	345735.7659119255	757.0750855523307	0	2510.045416624933	18169.80205325593	2160.8485369495347	0	4304.212751668029	51860.36488678883	3012.52479936532	1642.9045002755117	4285.0627804510605	72300.59518476768	156.64080940271677	0	1323.049481648573	3759.379425665203	6185.809098551319	2963.9199022593407	8776.284043215695	148459.41836523163	0.0	0	0	0	0.0	0	0	0	6185.809098551312	2963.91990225935	8776.284043215644	148459.41836523145	0.0	0	0	0	927.8713647826969	444.58798533890246	1316.4426064823467	22268.912754784727	875.5486399123562	401.85985337360705	1241.3801946943486	21013.167357896556	0.0	0	0	0	3092.418229325688	1851.8864204697745	13545.555299647429	74218.0375038165	0.0	0	0	0	1675.7515626590318	0	13545.555299647429	40218.03750381676	1416.6666666666556	0	2000.0	33999.99999999973	172.38761768107767	0	1405.5081037570667	4137.302824345864	40.47619047619015	0	57.142857142857146	971.4285714285636	295.8367729944374	172.64047846308756	1192.787132349025	7100.0825518665	0.0	0	0	0	26159.57979055588	18081.576633250806	40424.92690608336	627829.9149733412	0.0	0	0	0	0.07154861081434762	0.005164411006148399	0.19796908856902196	1.7171666595443429	26159.508241945	18081.428586802034	40424.794352867735	627828.19780668	0.0071548610814347645	0.00051644110061484	0.019796908856902197	0.17171666595443427	3923.9262362917502	2712.214288020305	6063.71915293016	94174.22967100199	3861.8276475045263	2665.9795058519844	5975.383011326151	92683.86354010862	0.0	0	0	0	
456	2019-03-20 00:00:00	46402.39883978798	24352.984932827225	75694.49032461687	1113657.5721549112	0.0	0	0	0	1625.9439673743202	0	13540.000914099504	39022.65521698369	0.0	0	0	0	162.594396737432	0	1354.0000914099505	3902.2655216983685	0.0	0	0	0	6960.359825968196	3652.947739924083	11354.17354869253	167048.6358232367	0.0	0	0	0	20318.469095362485	11227.981126269131	28256.058978730976	487643.2582886997	1625.9439673743202	0	13540.000914099504	39022.65521698369	7570.750855522786	0	25100.454166242926	181698.02053254689	14373.662207214033	0	28256.05897873115	344967.8929731368	757.0750855523307	0	2510.045416624933	18169.80205325593	2156.0493310821043	0	4238.4088468096725	51745.18394597052	2998.552187363298	1599.95420926499	4219.351926273759	71965.25249671916	162.594396737432	0	1354.0000914099505	3902.2655216983685	6105.0747863196175	3167.5498524686273	8473.792216137814	146521.79487167078	0.0	0	0	0	0.0	0	0	0	6105.074786319613	3167.549852468635	8473.792216137785	146521.7948716707	0.0	0	0	0	915.7612179479419	475.13247787029525	1271.0688324206676	21978.269230750608	862.885137225544	430.24470230321845	1197.8152466537247	20709.243293413056	0.0	0	0	0	3092.4182293256904	1851.8864204697745	13545.555299647429	74218.03750381658	0.0	0	0	0	1675.7515626590318	0	13545.555299647429	40218.03750381676	1416.6666666666586	0	2000.0	33999.9999999998	172.38761768107767	0	1405.5081037570667	4137.302824345864	40.47619047619025	0	57.142857142857146	971.4285714285656	295.8367729944377	172.64047846308756	1192.787132349025	7100.082551866506	0.0	0	0	0	25923.73339486519	17554.142545508385	39339.662222130086	622169.6014767648	0.0	0	0	0	0.07154861081434762	0.005164411006148399	0.19796908856902196	1.7171666595443429	25923.661846254334	17553.994499059598	39339.52966891424	622167.8843101038	0.0071548610814347645	0.00051644110061484	0.019796908856902197	0.17171666595443427	3888.549276938149	2633.0991748589395	5900.929450337136	93325.18264651559	3825.9135640418986	2586.630842435952	5817.498572450285	91821.92553700556	0.0	0	0	0	
480	2019-03-21 00:00:00	41980.80794596156	14444.46937349249	75010.38472984504	1007539.3907030772	0.0	0	0	0	2551.9995353970207	0	17764.256686601104	61247.988849528476	0.0	0	0	0	255.19995353970208	0	1776.4256686601104	6124.798884952847	0.0	0	0	0	6297.121191894232	2166.670406023873	11251.557709476758	151130.90860546156	0.0	0	0	0	18822.05831777365	7003.725353767531	27992.376857378054	451729.3996265678	2551.9995353970207	0	17764.256686601104	61247.988849528476	7570.750855522786	0	25100.454166242926	181698.02053254689	13803.306997647902	0	27992.376857377985	331279.3679435497	757.0750855523307	0	2510.045416624933	18169.80205325593	2070.496049647185	0	4198.856528606698	49691.905191532445	2781.4007859749786	1000.7368356991193	4180.303976386909	66753.61886339949	255.19995353970208	0	1776.4256686601104	6124.798884952847	4689.365375474618	2917.2725948087136	7756.929843214506	112544.76901139086	0.0	0	0	0	0.0	0	0	0	4689.365375474622	2917.27259480872	7756.9298432145	112544.76901139089	0.0	0	0	0	703.4048063211932	437.590889221308	1163.539476482175	16881.715351708637	659.5290998878253	395.2368824317791	1099.6850757977315	15828.698397307806	0.0	0	0	0	3092.4182293256795	1851.8864204697745	13545.555299647429	74218.03750381632	0.0	0	0	0	1675.7515626590318	0	13545.555299647429	40218.03750381676	1416.666666666647	0	2000.0	33999.99999999952	172.38761768107767	0	1405.5081037570667	4137.302824345864	40.476190476189906	0	57.142857142857146	971.4285714285576	295.83677299443656	172.64047846308756	1192.787132349025	7100.082551866478	0.0	0	0	0	23488.190875073586	11033.870165427881	39359.83892287558	563716.581001766	0.0	0	0	0	0.05530223452417245	0.004303675838457	0.1910832072274908	1.3272536285801386	23488.135572839026	11033.68080369109	39359.75973523986	563715.2537481367	0.005530223452417245	0.0004303675838457	0.01910832072274908	0.13272536285801387	3523.220335925854	1655.0521205536634	5903.963960285979	84557.28806222051	3468.48826797389	1630.6358538124778	5814.934641398971	83243.71843137336	0.0	0	0	0	
504	2019-03-22 00:00:00	42396.66091230318	14611.055498015397	75352.48781883362	1017519.861895276	0.0	0	0	0	2495.225664736752	0	17676.793583312312	59885.415953682066	0.0	0	0	0	249.5225664736753	0	1767.6793583312312	5988.541595368207	0.0	0	0	0	6359.499136845474	2191.6583247023095	11302.873172825042	152627.9792842914	0.0	0	0	0	18962.765895229313	7091.188457056324	28008.32423491367	455106.38148550363	2495.225664736752	0	17676.793583312312	59885.415953682066	7570.750855522786	0	25100.454166242926	181698.02053254689	13887.240704443295	0	28008.324234913838	333293.77690663905	757.0750855523307	0	2510.045416624933	18169.80205325593	2083.086105666494	0	4201.248635237075	49994.06653599585	2800.842542336197	1012.894093202205	4176.126784144327	67220.22101606871	249.5225664736753	0	1767.6793583312312	5988.541595368207	4835.943409023177	2922.357519177701	7818.950890437109	116062.64181655625	0.0	0	0	0	0.0	0	0	0	4835.943409023177	2922.3575191777177	7818.950890437105	116062.64181655628	0.0	0	0	0	725.3915113534766	438.35362787665764	1172.8426335655656	17409.396272483442	679.6934979561044	395.0602639013553	1103.7433652201066	16312.643950946509	0.0	0	0	0	3092.4182293256777	1851.8864204697745	13545.555299647429	74218.03750381626	0.0	0	0	0	1675.7515626590318	0	13545.555299647429	40218.03750381676	1416.6666666666456	0	2000.0	33999.99999999948	172.38761768107767	0	1405.5081037570667	4137.302824345864	40.47619047618986	0	57.142857142857146	971.4285714285567	295.83677299443644	172.64047846308756	1192.787132349025	7100.082551866477	0.0	0	0	0	23673.53210107125	11148.657401023504	39525.29188111837	568164.7704257099	0.0	0	0	0	0.05530223452417245	0.004303675838457	0.1910832072274908	1.3272536285801386	23673.476798836695	11148.468039286714	39525.212693482674	568163.4431720806	0.005530223452417245	0.0004303675838457	0.01910832072274908	0.13272536285801387	3551.0215198255037	1672.270205893007	5928.781904022401	85224.51647581208	3493.4414395589047	1647.5021191698856	5829.751979832931	83842.59454941368	0.0	0	0	0	
