simulation_time	physical_time	Heating1.Heat.energy_wanted	Heating1.Heat.energy_accorded	Heating1.priority	
0	2019-08-19 09:59:49.506802	0	0	1	
1	2019-08-19 10:59:49.506802	0	0	1	
2	2019-08-19 11:59:49.506802	0	0	1	
3	2019-08-19 12:59:49.506802	0	0	1	
4	2019-08-19 13:59:49.506802	0	0	1	
5	2019-08-19 14:59:49.506802	1.796980765711301	1.796980765711301	1	
6	2019-08-19 15:59:49.506802	1.796980765711301	1.796980765711301	1	
7	2019-08-19 16:59:49.506802	0	0	1	
8	2019-08-19 17:59:49.506802	0	0	1	
9	2019-08-19 18:59:49.506802	0	0	1	
10	2019-08-19 19:59:49.506802	0	0	1	
11	2019-08-19 20:59:49.506802	0	0	1	
12	2019-08-19 21:59:49.506802	0	0	1	
13	2019-08-19 22:59:49.506802	0	0	1	
14	2019-08-19 23:59:49.506802	0	0	1	
15	2019-08-20 00:59:49.506802	0	0	1	
16	2019-08-20 01:59:49.506802	0	0	1	
17	2019-08-20 02:59:49.506802	0	0	1	
18	2019-08-20 03:59:49.506802	0	0	1	
19	2019-08-20 04:59:49.506802	0	0	1	
20	2019-08-20 05:59:49.506802	0	0	1	
21	2019-08-20 06:59:49.506802	0	0	1	
22	2019-08-20 07:59:49.506802	0	0	1	
23	2019-08-20 08:59:49.506802	0	0	1	
