DHN_manager.money_earned	DHN_manager.money_spent	old_house.LTH.energy_bought	old_house.LTH.energy_sold	new_house.LTH.energy_bought	new_house.LTH.energy_sold	office.LTH.energy_bought	office.LTH.energy_sold	DHN_manager.LTH.energy_bought	DHN_manager.LTH.energy_sold	incinerator.LTH.energy_sold	fast_gas_boiler.LTH.energy_sold	district_heating_grid.energy_sold	district_heating_grid.energy_bought	
383.2011696489647	383.2011696489647	284.36980300481054	0	155.3415651644067	0	671.8062593992533	0	2223.035255136941	2223.035255136941	116.60000000000001	994.9176275684705	{'inside': 1111.5176275684705, 'outside': 0}	{'inside': 1111.5176275684705, 'outside': 0}	
384.98	384.98	291.1084239290952	0	159.02264490763906	0	666.4689311632658	0	2233.2	2233.2	116.60000000000001	1000	{'inside': 1116.6, 'outside': 0}	{'inside': 1116.6, 'outside': 0}	
382.9024185065328	382.9024185065328	288.41297555938127	0	157.55021301034608	0	681.3580071632236	0	2254.6423914659017	2254.6423914659017	233.20000000000002	894.1211957329508	{'inside': 1127.3211957329509, 'outside': 0}	{'inside': 1127.3211957329509, 'outside': 0}	
352.80492231463876	352.80492231463876	274.9357337108121	0	150.1880535238813	0	649.5188479499889	0	2149.2852703693643	2149.2852703693643	466.40000000000003	608.2426351846821	{'inside': 1074.6426351846821, 'outside': 0}	{'inside': 1074.6426351846821, 'outside': 0}	
330.29457463764504	330.29457463764504	281.6743546350967	0	153.8691332671137	0	665.4384275566063	0	2201.9638309176335	2201.9638309176335	1100.9819154588167	0	{'inside': 1100.9819154588167, 'outside': 0}	{'inside': 1100.9819154588167, 'outside': 0}	
380.02516131010424	380.02516131010424	369.2764266507966	0	201.7231699291347	0	681.3580071632236	0	2504.7152074863097	2504.7152074863097	1166.0	86.35760374315487	{'inside': 1252.3576037431549, 'outside': 0}	{'inside': 1252.3576037431549, 'outside': 0}	
381.86891092929375	381.86891092929375	370.62415083565355	0	202.4593858777812	0	684.5419230845472	0	2515.2509195959638	2515.2509195959638	1166.0	91.62545979798188	{'inside': 1257.6254597979819, 'outside': 0}	{'inside': 1257.6254597979819, 'outside': 0}	
457.94989337303366	457.94989337303366	377.36277175993814	0	206.1404656210136	0	891.496457970573	0	2949.9993907030494	2949.9993907030494	1166.0	308.9996953515247	{'inside': 1474.9996953515247, 'outside': 0}	{'inside': 1474.9996953515247, 'outside': 0}	
399.4371536159471	399.4371536159471	285.71752718966746	0	156.07778111305313	0	866.0251305999852	0	2615.640877805412	2615.640877805412	1166.0	141.82043890270597	{'inside': 1307.820438902706, 'outside': 0}	{'inside': 1307.820438902706, 'outside': 0}	
358.87466199378014	358.87466199378014	256.0675951228152	0	139.88103024283063	0	795.9789803308688	0	2383.855211393029	2383.855211393029	1166.0	25.927605696514547	{'inside': 1191.9276056965145, 'outside': 0}	{'inside': 1191.9276056965145, 'outside': 0}	
338.61399991157765	338.61399991157765	239.89490490453213	0	131.04643885907294	0	757.771989274987	0	2257.426666077184	2257.426666077184	1128.713333038592	0	{'inside': 1128.713333038592, 'outside': 0}	{'inside': 1128.713333038592, 'outside': 0}	
319.64971811420094	319.64971811420094	223.72221468624906	0	122.21184747531521	0	719.5649982191054	0	2130.998120761339	2130.998120761339	1065.4990603806696	0	{'inside': 1065.4990603806696, 'outside': 0}	{'inside': 1065.4990603806696, 'outside': 0}	
