simulation_time	physical_time	dummy_complete_profile_0_ElectricDam_0.energy	dummy_complete_profile_0_ElectricDam_0.money	
0	2019-01-01 00:00:00	-90.28069581960001	0.2	
1	2019-01-01 01:00:00	-89.36876959920001	0.1703	
2	2019-01-01 02:00:00	-91.19262204000002	0.155	
3	2019-01-01 03:00:00	-93.472437591	0.1402	
4	2019-01-01 04:00:00	-96.6641793624	0.0855	
5	2019-01-01 05:00:00	-104.4155522358	0.0684	
6	2019-01-01 06:00:00	-108.9751833378	0.0669	
7	2019-01-01 07:00:00	-114.44674066020004	0.0873	
8	2019-01-01 08:00:00	-113.99077755	0.1524	
9	2019-01-01 09:00:00	-106.6953677868	0.1306	
10	2019-01-01 10:00:00	-98.48803180320003	0.1332	
11	2019-01-01 11:00:00	-91.64858515020002	0.1261	
12	2019-01-01 12:00:00	-87.54491715840003	0.1441	
13	2019-01-01 13:00:00	-92.10454826040001	0.1454	
14	2019-01-01 14:00:00	-93.01647448080001	0.1214	
15	2019-01-01 15:00:00	-89.36876959920001	0.1234	
16	2019-01-01 16:00:00	-82.9852860564	0.1166	
17	2019-01-01 17:00:00	-73.41006074220002	0.1205	
18	2019-01-01 18:00:00	-78.42565495440003	0.179	
19	2019-01-01 19:00:00	-75.68987629320002	0.2202	
20	2019-01-01 20:00:00	-74.32198696260001	0.2157	
21	2019-01-01 21:00:00	-76.6018025136	0.2055	
22	2019-01-01 22:00:00	-83.89721227679999	0.2281	
23	2019-01-01 23:00:00	-88.91280648900002	0.2047	
24	2019-01-02 00:00:00	-85.72106471760002	0.2	
25	2019-01-02 01:00:00	-80.24950739520003	0.1703	
26	2019-01-02 02:00:00	-78.42565495440003	0.155	
27	2019-01-02 03:00:00	-79.33758117480001	0.1402	
28	2019-01-02 04:00:00	-77.96969184420003	0.0855	
29	2019-01-02 05:00:00	-77.96969184420003	0.0684	
30	2019-01-02 06:00:00	-78.42565495440003	0.0669	
31	2019-01-02 07:00:00	-81.1614336156	0.0873	
32	2019-01-02 08:00:00	-88.45684337880002	0.1524	
33	2019-01-02 09:00:00	-93.472437591	0.1306	
34	2019-01-02 10:00:00	-101.22381046440002	0.1332	
35	2019-01-02 11:00:00	-110.34307266840003	0.1261	
36	2019-01-02 12:00:00	-114.90270377040001	0.1441	
37	2019-01-02 13:00:00	-111.710961999	0.1454	
38	2019-01-02 14:00:00	-108.9751833378	0.1214	
39	2019-01-02 15:00:00	-103.04766290520001	0.1234	
40	2019-01-02 16:00:00	-95.75225314200003	0.1166	
41	2019-01-02 17:00:00	-89.36876959920001	0.1205	
42	2019-01-02 18:00:00	-101.67977357460002	0.179	
43	2019-01-02 19:00:00	-103.9595891256	0.2202	
44	2019-01-02 20:00:00	-107.15133089700004	0.2157	
45	2019-01-02 21:00:00	-109.88710955820002	0.2055	
