simulation_time	physical_time	national_electricity_distribution_network.energy_sold_inside	national_electricity_distribution_network.energy_sold_outside	national_electricity_distribution_network.energy_bought_inside	national_electricity_distribution_network.energy_bought_outside	national_electricity_distribution_network.energy_erased_consumption	national_electricity_distribution_network.energy_erased_production	national_electricity_distribution_network.money_spent_inside	national_electricity_distribution_network.money_spent_outside	national_electricity_distribution_network.money_earned_inside	national_electricity_distribution_network.money_earned_outside	national_gas_distribution_network.energy_sold_inside	national_gas_distribution_network.energy_sold_outside	national_gas_distribution_network.energy_bought_inside	national_gas_distribution_network.energy_bought_outside	national_gas_distribution_network.energy_erased_consumption	national_gas_distribution_network.energy_erased_production	national_gas_distribution_network.money_spent_inside	national_gas_distribution_network.money_spent_outside	national_gas_distribution_network.money_earned_inside	national_gas_distribution_network.money_earned_outside	electric_microgrid.energy_sold_inside	electric_microgrid.energy_sold_outside	electric_microgrid.energy_bought_inside	electric_microgrid.energy_bought_outside	electric_microgrid.energy_erased_consumption	electric_microgrid.energy_erased_production	electric_microgrid.money_spent_inside	electric_microgrid.money_spent_outside	electric_microgrid.money_earned_inside	electric_microgrid.money_earned_outside	district_heating_network.energy_sold_inside	district_heating_network.energy_sold_outside	district_heating_network.energy_bought_inside	district_heating_network.energy_bought_outside	district_heating_network.energy_erased_consumption	district_heating_network.energy_erased_production	district_heating_network.money_spent_inside	district_heating_network.money_spent_outside	district_heating_network.money_earned_inside	district_heating_network.money_earned_outside	
0	2021-01-01 00:00:00	5000.0	0	0	0	0.0	0	0	0	1100.0000000000002	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	10638.466047758913	0	4974.380314732871	5000.0	0.0	0.0	298.46281888397215	1100.0000000000002	2127.6932095517827	0	12526.24009257636	0	25879.706804708327	0	0.0	0.0	1173.9853402354165	0	1002.0992074061088	0	
1	2021-01-01 01:00:00	5000.0	0	0	0	0.0	0	0	0	936.6500000000001	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	10412.932457347468	0	4977.891696679537	5000.0	0.0	0.0	298.67350180077216	936.6500000000001	2082.586491469494	0	12597.918569648515	0	25876.57947315415	0	0.0	0.0	1173.8289736577076	0	1007.8334855718813	0	
2	2021-01-01 02:00:00	4819.253578976772	0	0	0	0.0	0	0	0	821.6827352155397	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	9801.12438253627	0	4981.870803559499	4819.253578976772	0.0	0.0	298.91224821356985	821.6827352155397	1960.2248765072543	0	12239.526184287737	0	25872.409697748582	0	0.0	0.0	1173.620484887429	0	979.1620947430189	0	
3	2021-01-01 03:00:00	4144.505530023518	0	0	0	0.0	0	0	0	639.165642840227	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	9130.27259035392	0	4985.767060330401	4144.505530023518	0.0	0.0	299.1460236198241	639.165642840227	1826.054518070784	0	10304.207303339528	0	25869.282366194406	0	0.0	0.0	1173.4641183097203	0	824.3365842671623	0	
4	2021-01-01 04:00:00	3454.861088455491	0	0	0	0.0	0	0	0	324.92968536923894	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	8445.595547397985	0	4990.734458942494	3454.861088455491	0.0	0.0	299.44406753654954	324.92968536923894	1689.1191094795972	0	8583.92385360779	0	25863.481523623675	0	0.0	0.0	1173.1740761811839	0	686.7139082886232	0	
5	2021-01-01 05:00:00	2826.8986869741684	0	0	0	0.0	0	0	0	212.69585720793648	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	7823.190626587256	0	4996.291939613087	2826.8986869741684	0.0	0.0	199.8516775845235	212.69585720793648	1408.174312785706	0	5891.881882296266	0	25858.852286173413	0	0.0	0.0	1172.9426143086707	0	471.35055058370125	0	
6	2021-01-01 06:00:00	3454.505914356838	0	0	0	0.0	0	0	0	254.2170902375197	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	8456.182818805133	0	5001.676904448295	3454.505914356838	0.0	0.0	200.06707617793177	254.2170902375197	1522.112907384924	0	6885.335788466491	0	25854.22304872315	0	0.0	0.0	1172.7111524361576	0	550.8268630773193	0	
7	2021-01-01 07:00:00	4767.549986648597	0	0	0	0.0	0	0	0	457.8278252178648	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	9776.001526847089	0	5008.451540198492	4767.549986648597	0.0	0.0	200.33806160793966	457.8278252178648	1759.680274832476	0	7100.369411946076	0	25858.852286173413	0	0.0	0.0	1172.9426143086707	0	568.0295529556861	0	
8	2021-01-01 08:00:00	4478.353952328796	0	0	0	0.0	0	0	0	750.7512565683995	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	9854.830362217901	0	5376.476409889105	4478.353952328796	0.0	0.0	215.05905639556426	750.7512565683995	1773.869465199222	0	8531.899318402324	0	25862.709984048633	0	0.0	0.0	1173.1354992024317	0	682.5519454721859	0	
9	2021-01-01 09:00:00	27.986686020187335	0	0	0	0.0	0	0	0	4.020567313660113	0	14600.0	0	0	0	0.0	0	0	0	2336.0	0	7810.5423112330045	0	7782.555625212817	27.986686020187335	0.0	0.0	466.95333751276905	4.020567313660113	1562.108462246601	0	5447.684868023284	0	25868.23992234301	0	0.0	0.0	1173.4119961171507	0	435.81478944186273	0	
