simulation_time	physical_time	PV_field_1.LVE.energy	PV_field_1.LVE.money	PV_field_2.LVE.energy	PV_field_2.LVE.money	WT_field_1.LVE.energy	WT_field_1.LVE.money	
1896	2021-03-21 00:00:00	0	0	0	0	0	0	
1897	2021-03-21 01:00:00	0	0	0	0	0	0	
1898	2021-03-21 02:00:00	0	0	0	0	0	0	
1899	2021-03-21 03:00:00	0	0	0	0	0	0	
1900	2021-03-21 04:00:00	0	0	0	0	0	0	
1901	2021-03-21 05:00:00	0	0	0	0	0	0	
1902	2021-03-21 06:00:00	-1.8290841874999997	0.04	-1.8290841874999997	0.04	0	0	
1903	2021-03-21 07:00:00	-725.4178035929689	0.04	-725.4178035929689	0.04	0	0	
1904	2021-03-21 08:00:00	-2093.0683210968755	0.04	-2093.0683210968755	0.04	0	0	
1905	2021-03-21 09:00:00	-3385.4135838718744	0.06	-3385.4135838718744	0.06	0	0	
1906	2021-03-21 10:00:00	-4248.192053705469	0.06	-4248.192053705469	0.06	0	0	
1907	2021-03-21 11:00:00	-4695.07740979297	0.06	-4695.07740979297	0.06	0	0	
1908	2021-03-21 12:00:00	-4722.445010521876	0.06	-4722.445010521876	0.06	0	0	
1909	2021-03-21 13:00:00	-4688.735066792969	0.06	-4688.735066792969	0.06	0	0	
1910	2021-03-21 14:00:00	-4117.1498632218745	0.06	-4117.1498632218745	0.06	0	0	
1911	2021-03-21 15:00:00	-3322.853257046875	0.06	-3322.853257046875	0.06	0	0	
1912	2021-03-21 16:00:00	-2292.627612905469	0.06	-2292.627612905469	0.06	0	0	
1913	2021-03-21 17:00:00	-1005.1813724117187	0.04	-1005.1813724117187	0.04	0	0	
1914	2021-03-21 18:00:00	-10.257862355468749	0.04	-10.257862355468749	0.04	0	0	
1915	2021-03-21 19:00:00	0	0	0	0	0	0	
1916	2021-03-21 20:00:00	0	0	0	0	0	0	
1917	2021-03-21 21:00:00	0	0	0	0	0	0	
1918	2021-03-21 22:00:00	0	0	0	0	0	0	
1919	2021-03-21 23:00:00	0	0	0	0	0	0	
1920	2021-03-22 00:00:00	0	0	0	0	0	0	
1921	2021-03-22 01:00:00	0	0	0	0	0	0	
1922	2021-03-22 02:00:00	0	0	0	0	0	0	
1923	2021-03-22 03:00:00	0	0	0	0	0	0	
1924	2021-03-22 04:00:00	0	0	0	0	0	0	
1925	2021-03-22 05:00:00	0	0	0	0	0	0	
1926	2021-03-22 06:00:00	-1.8290841874999997	0.04	-1.8290841874999997	0.04	-2.000239194274514	0.04	
1927	2021-03-22 07:00:00	-725.4178035929689	0.04	-725.4178035929689	0.04	-11.478651285604775	0.04	
1928	2021-03-22 08:00:00	-2093.0683210968755	0.04	-2093.0683210968755	0.04	-29.025101381953192	0.04	
1929	2021-03-22 09:00:00	-3385.4135838718744	0.06	-3385.4135838718744	0.06	-6.938218857486554	0.06	
1930	2021-03-22 10:00:00	-4248.192053705469	0.06	-4248.192053705469	0.06	0	0	
1931	2021-03-22 11:00:00	-4695.07740979297	0.06	-4695.07740979297	0.06	0	0	
1932	2021-03-22 12:00:00	-4722.445010521876	0.06	-4722.445010521876	0.06	0	0	
1933	2021-03-22 13:00:00	-4688.735066792969	0.06	-4688.735066792969	0.06	-2.2946059682383977	0.06	
1934	2021-03-22 14:00:00	-4117.1498632218745	0.06	-4117.1498632218745	0.06	-13.61689844007901	0.06	
1935	2021-03-22 15:00:00	-3322.853257046875	0.06	-3322.853257046875	0.06	-3.2756569425198006	0.06	
1936	2021-03-22 16:00:00	-2292.627612905469	0.06	-2292.627612905469	0.06	0	0	
1937	2021-03-22 17:00:00	-1005.1813724117187	0.04	-1005.1813724117187	0.04	0	0	
1938	2021-03-22 18:00:00	-10.257862355468749	0.04	-10.257862355468749	0.04	0	0	
1939	2021-03-22 19:00:00	0	0	0	0	-4.765663144152293	0.04	
1940	2021-03-22 20:00:00	0	0	0	0	-17.965946455032945	0.04	
1941	2021-03-22 21:00:00	0	0	0	0	-8.391805459651167	0.06	
1942	2021-03-22 22:00:00	0	0	0	0	-2.4580025126465177	0.06	
1943	2021-03-22 23:00:00	0	0	0	0	0	0	
1944	2021-03-23 00:00:00	0	0	0	0	0	0	
1945	2021-03-23 01:00:00	0	0	0	0	-0.025591401444726183	0.06	
1946	2021-03-23 02:00:00	0	0	0	0	-0.7469222123214839	0.06	
1947	2021-03-23 03:00:00	0	0	0	0	0	0	
1948	2021-03-23 04:00:00	0	0	0	0	0	0	
1949	2021-03-23 05:00:00	0	0	0	0	0	0	
1950	2021-03-23 06:00:00	-1.8290841874999997	0.04	-1.8290841874999997	0.04	0	0	
1951	2021-03-23 07:00:00	-725.4178035929689	0.04	-725.4178035929689	0.04	0	0	
1952	2021-03-23 08:00:00	-2093.0683210968755	0.04	-2093.0683210968755	0.04	-1.4154274849875526	0.04	
1953	2021-03-23 09:00:00	-3385.4135838718744	0.06	-3385.4135838718744	0.06	-10.010902286654662	0.06	
1954	2021-03-23 10:00:00	-4248.192053705469	0.06	-4248.192053705469	0.06	-25.911178574827208	0.06	
1955	2021-03-23 11:00:00	-4695.07740979297	0.06	-4695.07740979297	0.06	-52.63598723425925	0.06	
1956	2021-03-23 12:00:00	-4722.445010521876	0.06	-4722.445010521876	0.06	-14.651709039944702	0.06	
1957	2021-03-23 13:00:00	-4688.735066792969	0.06	-4688.735066792969	0.06	-0.025484786674908215	0.06	
1958	2021-03-23 14:00:00	-4117.1498632218745	0.06	-4117.1498632218745	0.06	0	0	
1959	2021-03-23 15:00:00	-3322.853257046875	0.06	-3322.853257046875	0.06	0	0	
1960	2021-03-23 16:00:00	-2292.627612905469	0.06	-2292.627612905469	0.06	0	0	
1961	2021-03-23 17:00:00	-1005.1813724117187	0.04	-1005.1813724117187	0.04	0	0	
1962	2021-03-23 18:00:00	-10.257862355468749	0.04	-10.257862355468749	0.04	0	0	
1963	2021-03-23 19:00:00	0	0	0	0	0	0	
1964	2021-03-23 20:00:00	0	0	0	0	0	0	
1965	2021-03-23 21:00:00	0	0	0	0	0	0	
1966	2021-03-23 22:00:00	0	0	0	0	0	0	
1967	2021-03-23 23:00:00	0	0	0	0	0	0	
1968	2021-03-24 00:00:00	0	0	0	0	0	0	
1969	2021-03-24 01:00:00	0	0	0	0	0	0	
1970	2021-03-24 02:00:00	0	0	0	0	0	0	
1971	2021-03-24 03:00:00	0	0	0	0	0	0	
1972	2021-03-24 04:00:00	0	0	0	0	0	0	
1973	2021-03-24 05:00:00	0	0	0	0	0	0	
1974	2021-03-24 06:00:00	-1.8290841874999997	0.04	-1.8290841874999997	0.04	0	0	
1975	2021-03-24 07:00:00	-725.4178035929689	0.04	-725.4178035929689	0.04	0	0	
1976	2021-03-24 08:00:00	-2093.0683210968755	0.04	-2093.0683210968755	0.04	0	0	
1977	2021-03-24 09:00:00	-3385.4135838718744	0.06	-3385.4135838718744	0.06	0	0	
1978	2021-03-24 10:00:00	-4248.192053705469	0.06	-4248.192053705469	0.06	0	0	
1979	2021-03-24 11:00:00	-4695.07740979297	0.06	-4695.07740979297	0.06	0	0	
1980	2021-03-24 12:00:00	-4722.445010521876	0.06	-4722.445010521876	0.06	-1.5512873167333119	0.06	
1981	2021-03-24 13:00:00	-4688.735066792969	0.06	-4688.735066792969	0.06	-4.763644099676849	0.06	
1982	2021-03-24 14:00:00	-4117.1498632218745	0.06	-4117.1498632218745	0.06	-9.150062306584031	0.06	
1983	2021-03-24 15:00:00	-3322.853257046875	0.06	-3322.853257046875	0.06	-0.7424195510619362	0.06	
1984	2021-03-24 16:00:00	-2292.627612905469	0.06	-2292.627612905469	0.06	0	0	
1985	2021-03-24 17:00:00	-1005.1813724117187	0.04	-1005.1813724117187	0.04	0	0	
1986	2021-03-24 18:00:00	-10.257862355468749	0.04	-10.257862355468749	0.04	0	0	
1987	2021-03-24 19:00:00	0	0	0	0	0	0	
1988	2021-03-24 20:00:00	0	0	0	0	-0.13944166941110686	0.04	
1989	2021-03-24 21:00:00	0	0	0	0	0	0	
1990	2021-03-24 22:00:00	0	0	0	0	0	0	
1991	2021-03-24 23:00:00	0	0	0	0	0	0	
1992	2021-03-25 00:00:00	0	0	0	0	0	0	
1993	2021-03-25 01:00:00	0	0	0	0	0	0	
1994	2021-03-25 02:00:00	0	0	0	0	-0.7469222123214839	0.06	
1995	2021-03-25 03:00:00	0	0	0	0	-0.02561137751146776	0.06	
1996	2021-03-25 04:00:00	0	0	0	0	0	0	
1997	2021-03-25 05:00:00	0	0	0	0	0	0	
1998	2021-03-25 06:00:00	-1.8290841874999997	0.04	-1.8290841874999997	0.04	0	0	
1999	2021-03-25 07:00:00	-725.4178035929689	0.04	-725.4178035929689	0.04	0	0	
2000	2021-03-25 08:00:00	-2093.0683210968755	0.04	-2093.0683210968755	0.04	0	0	
2001	2021-03-25 09:00:00	-3385.4135838718744	0.06	-3385.4135838718744	0.06	-0.256294546388945	0.06	
2002	2021-03-25 10:00:00	-4248.192053705469	0.06	-4248.192053705469	0.06	-1.1383763373274363	0.06	
2003	2021-03-25 11:00:00	-4695.07740979297	0.06	-4695.07740979297	0.06	-1.9920334529278843	0.06	
2004	2021-03-25 12:00:00	-4722.445010521876	0.06	-4722.445010521876	0.06	-1.9901331457871607	0.06	
2005	2021-03-25 13:00:00	-4688.735066792969	0.06	-4688.735066792969	0.06	-1.8397948853650556	0.06	
2006	2021-03-25 14:00:00	-4117.1498632218745	0.06	-4117.1498632218745	0.06	-1.8384318468493779	0.06	
2007	2021-03-25 15:00:00	-3322.853257046875	0.06	-3322.853257046875	0.06	0	0	
2008	2021-03-25 16:00:00	-2292.627612905469	0.06	-2292.627612905469	0.06	0	0	
2009	2021-03-25 17:00:00	-1005.1813724117187	0.04	-1005.1813724117187	0.04	0	0	
2010	2021-03-25 18:00:00	-10.257862355468749	0.04	-10.257862355468749	0.04	0	0	
2011	2021-03-25 19:00:00	0	0	0	0	0	0	
2012	2021-03-25 20:00:00	0	0	0	0	0	0	
2013	2021-03-25 21:00:00	0	0	0	0	0	0	
2014	2021-03-25 22:00:00	0	0	0	0	0	0	
2015	2021-03-25 23:00:00	0	0	0	0	0	0	
2016	2021-03-26 00:00:00	0	0	0	0	0	0	
2017	2021-03-26 01:00:00	0	0	0	0	0	0	
2018	2021-03-26 02:00:00	0	0	0	0	0	0	
2019	2021-03-26 03:00:00	0	0	0	0	0	0	
2020	2021-03-26 04:00:00	0	0	0	0	0	0	
2021	2021-03-26 05:00:00	0	0	0	0	0	0	
2022	2021-03-26 06:00:00	-1.8290841874999997	0.04	-1.8290841874999997	0.04	0	0	
2023	2021-03-26 07:00:00	-725.4178035929689	0.04	-725.4178035929689	0.04	0	0	
2024	2021-03-26 08:00:00	-2093.0683210968755	0.04	-2093.0683210968755	0.04	0	0	
2025	2021-03-26 09:00:00	-3385.4135838718744	0.06	-3385.4135838718744	0.06	0	0	
2026	2021-03-26 10:00:00	-4248.192053705469	0.06	-4248.192053705469	0.06	0	0	
2027	2021-03-26 11:00:00	-4695.07740979297	0.06	-4695.07740979297	0.06	0	0	
2028	2021-03-26 12:00:00	-4722.445010521876	0.06	-4722.445010521876	0.06	-1.2719755970199444	0.06	
2029	2021-03-26 13:00:00	-4688.735066792969	0.06	-4688.735066792969	0.06	-3.9971031304604248	0.06	
2030	2021-03-26 14:00:00	-4117.1498632218745	0.06	-4117.1498632218745	0.06	-7.621450780423843	0.06	
2031	2021-03-26 15:00:00	-3322.853257046875	0.06	-3322.853257046875	0.06	-0.3732659832171894	0.06	
2032	2021-03-26 16:00:00	-2292.627612905469	0.06	-2292.627612905469	0.06	0	0	
2033	2021-03-26 17:00:00	-1005.1813724117187	0.04	-1005.1813724117187	0.04	0	0	
2034	2021-03-26 18:00:00	-10.257862355468749	0.04	-10.257862355468749	0.04	0	0	
2035	2021-03-26 19:00:00	0	0	0	0	0	0	
2036	2021-03-26 20:00:00	0	0	0	0	0	0	
2037	2021-03-26 21:00:00	0	0	0	0	-2.7802510951453896	0.06	
2038	2021-03-26 22:00:00	0	0	0	0	-10.000272093624915	0.06	
2039	2021-03-26 23:00:00	0	0	0	0	-21.732300904885385	0.06	
2040	2021-03-27 00:00:00	0	0	0	0	-22.19032515003641	0.06	
2041	2021-03-27 01:00:00	0	0	0	0	-22.647465258474515	0.06	
2042	2021-03-27 02:00:00	0	0	0	0	-23.570917041603884	0.06	
2043	2021-03-27 03:00:00	0	0	0	0	-25.970936258447882	0.06	
2044	2021-03-27 04:00:00	0	0	0	0	-28.522945006979022	0.06	
2045	2021-03-27 05:00:00	0	0	0	0	-31.236517173085417	0.04	
2046	2021-03-27 06:00:00	-1.8290841874999997	0.04	-1.8290841874999997	0.04	-41.74276901836061	0.04	
2047	2021-03-27 07:00:00	-725.4178035929689	0.04	-725.4178035929689	0.04	-55.26226567401614	0.04	
2048	2021-03-27 08:00:00	-2093.0683210968755	0.04	-2093.0683210968755	0.04	-70.66865324520315	0.04	
2049	2021-03-27 09:00:00	-3385.4135838718744	0.06	-3385.4135838718744	0.06	-102.66636979434791	0.06	
2050	2021-03-27 10:00:00	-4248.192053705469	0.06	-4248.192053705469	0.06	-144.4751870249109	0.06	
2051	2021-03-27 11:00:00	-4695.07740979297	0.06	-4695.07740979297	0.06	-196.08294896047056	0.06	
2052	2021-03-27 12:00:00	-4722.445010521876	0.06	-4722.445010521876	0.06	-211.39015628033476	0.06	
2053	2021-03-27 13:00:00	-4688.735066792969	0.06	-4688.735066792969	0.06	-227.65673632960903	0.06	
2054	2021-03-27 14:00:00	-4117.1498632218745	0.06	-4117.1498632218745	0.06	-244.8823730738817	0.06	
2055	2021-03-27 15:00:00	-3322.853257046875	0.06	-3322.853257046875	0.06	-120.17368743048912	0.06	
2056	2021-03-27 16:00:00	-2292.627612905469	0.06	-2292.627612905469	0.06	-51.695529490080794	0.06	
2057	2021-03-27 17:00:00	-1005.1813724117187	0.04	-1005.1813724117187	0.04	-16.413986579764163	0.04	
2058	2021-03-27 18:00:00	-10.257862355468749	0.04	-10.257862355468749	0.04	-19.12929893399109	0.04	
2059	2021-03-27 19:00:00	0	0	0	0	-21.674731425187776	0.04	
2060	2021-03-27 20:00:00	0	0	0	0	-24.90383919862177	0.04	
2061	2021-03-27 21:00:00	0	0	0	0	-20.843134320655878	0.06	
2062	2021-03-27 22:00:00	0	0	0	0	-17.601457176065114	0.06	
2063	2021-03-27 23:00:00	0	0	0	0	-14.68595501510416	0.06	
2064	2021-03-28 00:00:00	0	0	0	0	-12.70263632009281	0.06	
2065	2021-03-28 01:00:00	0	0	0	0	-10.87504135491087	0.06	
2066	2021-03-28 02:00:00	0	0	0	0	-9.198741018210134	0.06	
2067	2021-03-28 03:00:00	0	0	0	0	-9.202331182368468	0.06	
2068	2021-03-28 04:00:00	0	0	0	0	-9.474994077216705	0.06	
2069	2021-03-28 05:00:00	0	0	0	0	-9.477685046740962	0.04	
2070	2021-03-28 06:00:00	-1.8290841874999997	0.04	-1.8290841874999997	0.04	-14.041575206164802	0.04	
2071	2021-03-28 07:00:00	-725.4178035929689	0.04	-725.4178035929689	0.04	-19.643226966212897	0.04	
2072	2021-03-28 08:00:00	-2093.0683210968755	0.04	-2093.0683210968755	0.04	-25.955280724589713	0.04	
2073	2021-03-28 09:00:00	-3385.4135838718744	0.06	-3385.4135838718744	0.06	-29.53700107774994	0.06	
2074	2021-03-28 10:00:00	-4248.192053705469	0.06	-4248.192053705469	0.06	-32.845172613285605	0.06	
2075	2021-03-28 11:00:00	-4695.07740979297	0.06	-4695.07740979297	0.06	-37.01472316443244	0.06	
2076	2021-03-28 12:00:00	-4722.445010521876	0.06	-4722.445010521876	0.06	-31.64578430638593	0.06	
2077	2021-03-28 13:00:00	-4688.735066792969	0.06	-4688.735066792969	0.06	-27.342654591283644	0.06	
2078	2021-03-28 14:00:00	-4117.1498632218745	0.06	-4117.1498632218745	0.06	-23.446182377244966	0.06	
2079	2021-03-28 15:00:00	-3322.853257046875	0.06	-3322.853257046875	0.06	-3.2756569425198006	0.06	
2080	2021-03-28 16:00:00	-2292.627612905469	0.06	-2292.627612905469	0.06	0	0	
2081	2021-03-28 17:00:00	-1005.1813724117187	0.04	-1005.1813724117187	0.04	0	0	
2082	2021-03-28 18:00:00	-10.257862355468749	0.04	-10.257862355468749	0.04	0	0	
2083	2021-03-28 19:00:00	0	0	0	0	0	0	
2084	2021-03-28 20:00:00	0	0	0	0	0	0	
2085	2021-03-28 21:00:00	0	0	0	0	0	0	
2086	2021-03-28 22:00:00	0	0	0	0	0	0	
2087	2021-03-28 23:00:00	0	0	0	0	0	0	
2088	2021-03-29 00:00:00	0	0	0	0	0	0	
2089	2021-03-29 01:00:00	0	0	0	0	0	0	
2090	2021-03-29 02:00:00	0	0	0	0	0	0	
2091	2021-03-29 03:00:00	0	0	0	0	0	0	
2092	2021-03-29 04:00:00	0	0	0	0	0	0	
2093	2021-03-29 05:00:00	0	0	0	0	0	0	
2094	2021-03-29 06:00:00	-1.8290841874999997	0.04	-1.8290841874999997	0.04	0	0	
2095	2021-03-29 07:00:00	-725.4178035929689	0.04	-725.4178035929689	0.04	0	0	
2096	2021-03-29 08:00:00	-2093.0683210968755	0.04	-2093.0683210968755	0.04	-0.13987678696181574	0.04	
2097	2021-03-29 09:00:00	-3385.4135838718744	0.06	-3385.4135838718744	0.06	-2.7845856527258612	0.06	
2098	2021-03-29 10:00:00	-4248.192053705469	0.06	-4248.192053705469	0.06	-6.472645712746967	0.06	
2099	2021-03-29 11:00:00	-4695.07740979297	0.06	-4695.07740979297	0.06	-11.440086371417461	0.06	
2100	2021-03-29 12:00:00	-4722.445010521876	0.06	-4722.445010521876	0.06	-19.972230002059774	0.06	
2101	2021-03-29 13:00:00	-4688.735066792969	0.06	-4688.735066792969	0.06	-32.186876957294864	0.06	
2102	2021-03-29 14:00:00	-4117.1498632218745	0.06	-4117.1498632218745	0.06	-47.87119704988731	0.06	
2103	2021-03-29 15:00:00	-3322.853257046875	0.06	-3322.853257046875	0.06	-20.346035560257608	0.06	
2104	2021-03-29 16:00:00	-2292.627612905469	0.06	-2292.627612905469	0.06	-5.576248667104891	0.06	
2105	2021-03-29 17:00:00	-1005.1813724117187	0.04	-1005.1813724117187	0.04	0	0	
2106	2021-03-29 18:00:00	-10.257862355468749	0.04	-10.257862355468749	0.04	0	0	
2107	2021-03-29 19:00:00	0	0	0	0	0	0	
2108	2021-03-29 20:00:00	0	0	0	0	0	0	
2109	2021-03-29 21:00:00	0	0	0	0	0	0	
2110	2021-03-29 22:00:00	0	0	0	0	0	0	
2111	2021-03-29 23:00:00	0	0	0	0	0	0	
2112	2021-03-30 00:00:00	0	0	0	0	0	0	
2113	2021-03-30 01:00:00	0	0	0	0	0	0	
2114	2021-03-30 02:00:00	0	0	0	0	0	0	
2115	2021-03-30 03:00:00	0	0	0	0	0	0	
2116	2021-03-30 04:00:00	0	0	0	0	-0.025618649269924763	0.06	
2117	2021-03-30 05:00:00	0	0	0	0	-0.497380629270322	0.04	
2118	2021-03-30 06:00:00	-1.8290841874999997	0.04	-1.8290841874999997	0.04	-4.020381492013672	0.04	
2119	2021-03-30 07:00:00	-725.4178035929689	0.04	-725.4178035929689	0.04	-9.203310804466414	0.04	
2120	2021-03-30 08:00:00	-2093.0683210968755	0.04	-2093.0683210968755	0.04	-16.497798911305683	0.04	
2121	2021-03-30 09:00:00	-3385.4135838718744	0.06	-3385.4135838718744	0.06	-17.620167355711693	0.06	
2122	2021-03-30 10:00:00	-4248.192053705469	0.06	-4248.192053705469	0.06	-19.186857607051998	0.06	
2123	2021-03-30 11:00:00	-4695.07740979297	0.06	-4695.07740979297	0.06	-20.41079457201166	0.06	
2124	2021-03-30 12:00:00	-4722.445010521876	0.06	-4722.445010521876	0.06	-16.810430663756517	0.06	
2125	2021-03-30 13:00:00	-4688.735066792969	0.06	-4688.735066792969	0.06	-13.626994194822222	0.06	
2126	2021-03-30 14:00:00	-4117.1498632218745	0.06	-4117.1498632218745	0.06	-11.114844620158927	0.06	
2127	2021-03-30 15:00:00	-3322.853257046875	0.06	-3322.853257046875	0.06	-2.1370819877519853	0.06	
2128	2021-03-30 16:00:00	-2292.627612905469	0.06	-2292.627612905469	0.06	0	0	
2129	2021-03-30 17:00:00	-1005.1813724117187	0.04	-1005.1813724117187	0.04	0	0	
2130	2021-03-30 18:00:00	-10.257862355468749	0.04	-10.257862355468749	0.04	0	0	
2131	2021-03-30 19:00:00	0	0	0	0	0	0	
2132	2021-03-30 20:00:00	0	0	0	0	0	0	
2133	2021-03-30 21:00:00	0	0	0	0	0	0	
2134	2021-03-30 22:00:00	0	0	0	0	0	0	
2135	2021-03-30 23:00:00	0	0	0	0	-0.7458112432211407	0.06	
2136	2021-03-31 00:00:00	0	0	0	0	0	0	
2137	2021-03-31 01:00:00	0	0	0	0	0	0	
2138	2021-03-31 02:00:00	0	0	0	0	0	0	
2139	2021-03-31 03:00:00	0	0	0	0	0	0	
2140	2021-03-31 04:00:00	0	0	0	0	0	0	
2141	2021-03-31 05:00:00	0	0	0	0	0	0	
2142	2021-03-31 06:00:00	-1.8290841874999997	0.04	-1.8290841874999997	0.04	0	0	
2143	2021-03-31 07:00:00	-725.4178035929689	0.04	-725.4178035929689	0.04	0	0	
2144	2021-03-31 08:00:00	-2093.0683210968755	0.04	-2093.0683210968755	0.04	0	0	
2145	2021-03-31 09:00:00	-3385.4135838718744	0.06	-3385.4135838718744	0.06	0	0	
2146	2021-03-31 10:00:00	-4248.192053705469	0.06	-4248.192053705469	0.06	0	0	
2147	2021-03-31 11:00:00	-4695.07740979297	0.06	-4695.07740979297	0.06	0	0	
2148	2021-03-31 12:00:00	-4722.445010521876	0.06	-4722.445010521876	0.06	-0.374096832735849	0.06	
2149	2021-03-31 13:00:00	-4688.735066792969	0.06	-4688.735066792969	0.06	-1.1353620238140827	0.06	
2150	2021-03-31 14:00:00	-4117.1498632218745	0.06	-4117.1498632218745	0.06	-1.9871843082304368	0.06	
2151	2021-03-31 15:00:00	-3322.853257046875	0.06	-3322.853257046875	0.06	0	0	
2152	2021-03-31 16:00:00	-2292.627612905469	0.06	-2292.627612905469	0.06	0	0	
2153	2021-03-31 17:00:00	-1005.1813724117187	0.04	-1005.1813724117187	0.04	0	0	
2154	2021-03-31 18:00:00	-10.257862355468749	0.04	-10.257862355468749	0.04	0	0	
2155	2021-03-31 19:00:00	0	0	0	0	0	0	
2156	2021-03-31 20:00:00	0	0	0	0	0	0	
2157	2021-03-31 21:00:00	0	0	0	0	0	0	
2158	2021-03-31 22:00:00	0	0	0	0	0	0	
2159	2021-03-31 23:00:00	0	0	0	0	-2.1468450983961858	0.06	
2160	2021-04-01 00:00:00	0	0	0	0	-10.809889834698696	0.06	
2161	2021-04-01 01:00:00	0	0	0	0	-26.294656031637526	0.06	
2162	2021-04-01 02:00:00	0	0	0	0	-51.682770683147474	0.06	
2163	2021-04-01 03:00:00	0	0	0	0	-89.7669131680675	0.06	
2164	2021-04-01 04:00:00	0	0	0	0	-147.36997762386775	0.06	
2165	2021-04-01 05:00:00	0	0	0	0	-229.87931182835783	0.04	
2166	2021-04-01 06:00:00	-410.415836796875	0.04	-410.415836796875	0.04	-344.8441639890062	0.04	
2167	2021-04-01 07:00:00	-1665.2218971968753	0.04	-1665.2218971968753	0.04	-500.7643812441662	0.04	
2168	2021-04-01 08:00:00	-3028.6858524718755	0.04	-3028.6858524718755	0.04	-877.9514718551051	0.04	
2169	2021-04-01 09:00:00	-4265.073371671875	0.06	-4265.073371671875	0.06	-1044.4745226452292	0.06	
2170	2021-04-01 10:00:00	-4934.930638721876	0.06	-4934.930638721876	0.06	-1226.4924901234547	0.06	
2171	2021-04-01 11:00:00	-5512.094168171877	0.06	-5512.094168171877	0.06	-1433.3911025756784	0.06	
2172	2021-04-01 12:00:00	-5554.08807863672	0.06	-5554.08807863672	0.06	-1187.376076481021	0.06	
2173	2021-04-01 13:00:00	-5119.187321521875	0.06	-5119.187321521875	0.06	-977.2059788991218	0.06	
2174	2021-04-01 14:00:00	-4638.0838795929685	0.06	-4638.0838795929685	0.06	-798.3454312105617	0.06	
2175	2021-04-01 15:00:00	-4078.9100266718756	0.06	-4078.9100266718756	0.06	-449.8327844840254	0.06	
2176	2021-04-01 16:00:00	-2885.95739915	0.06	-2885.95739915	0.06	-235.4356000711106	0.06	
2177	2021-04-01 17:00:00	-1490.4294856875001	0.04	-1490.4294856875001	0.04	-110.81884372133928	0.04	
2178	2021-04-01 18:00:00	-294.77971651171873	0.04	-294.77971651171873	0.04	-87.9820809688804	0.04	
2179	2021-04-01 19:00:00	0	0	0	0	-69.885573529127	0.04	
2180	2021-04-01 20:00:00	0	0	0	0	-53.85994863434722	0.04	
2181	2021-04-01 21:00:00	0	0	0	0	-21.57035481452631	0.06	
2182	2021-04-01 22:00:00	0	0	0	0	-5.147798077855753	0.06	
2183	2021-04-01 23:00:00	0	0	0	0	0	0	
2184	2021-04-02 00:00:00	0	0	0	0	0	0	
2185	2021-04-02 01:00:00	0	0	0	0	0	0	
2186	2021-04-02 02:00:00	0	0	0	0	0	0	
2187	2021-04-02 03:00:00	0	0	0	0	0	0	
2188	2021-04-02 04:00:00	0	0	0	0	0	0	
2189	2021-04-02 05:00:00	0	0	0	0	0	0	
2190	2021-04-02 06:00:00	-410.415836796875	0.04	-410.415836796875	0.04	0	0	
2191	2021-04-02 07:00:00	-1665.2218971968753	0.04	-1665.2218971968753	0.04	0	0	
2192	2021-04-02 08:00:00	-3028.6858524718755	0.04	-3028.6858524718755	0.04	0	0	
2193	2021-04-02 09:00:00	-4265.073371671875	0.06	-4265.073371671875	0.06	0	0	
2194	2021-04-02 10:00:00	-4934.930638721876	0.06	-4934.930638721876	0.06	0	0	
2195	2021-04-02 11:00:00	-5512.094168171877	0.06	-5512.094168171877	0.06	0	0	
2196	2021-04-02 12:00:00	-5554.08807863672	0.06	-5554.08807863672	0.06	0	0	
2197	2021-04-02 13:00:00	-5119.187321521875	0.06	-5119.187321521875	0.06	0	0	
2198	2021-04-02 14:00:00	-4638.0838795929685	0.06	-4638.0838795929685	0.06	0	0	
2199	2021-04-02 15:00:00	-4078.9100266718756	0.06	-4078.9100266718756	0.06	0	0	
2200	2021-04-02 16:00:00	-2885.95739915	0.06	-2885.95739915	0.06	0	0	
2201	2021-04-02 17:00:00	-1490.4294856875001	0.04	-1490.4294856875001	0.04	0	0	
2202	2021-04-02 18:00:00	-294.77971651171873	0.04	-294.77971651171873	0.04	0	0	
2203	2021-04-02 19:00:00	0	0	0	0	0	0	
2204	2021-04-02 20:00:00	0	0	0	0	0	0	
2205	2021-04-02 21:00:00	0	0	0	0	0	0	
2206	2021-04-02 22:00:00	0	0	0	0	0	0	
2207	2021-04-02 23:00:00	0	0	0	0	0	0	
2208	2021-04-03 00:00:00	0	0	0	0	0	0	
2209	2021-04-03 01:00:00	0	0	0	0	0	0	
2210	2021-04-03 02:00:00	0	0	0	0	0	0	
2211	2021-04-03 03:00:00	0	0	0	0	0	0	
2212	2021-04-03 04:00:00	0	0	0	0	0	0	
2213	2021-04-03 05:00:00	0	0	0	0	0	0	
2214	2021-04-03 06:00:00	-410.415836796875	0.04	-410.415836796875	0.04	0	0	
2215	2021-04-03 07:00:00	-1665.2218971968753	0.04	-1665.2218971968753	0.04	0	0	
2216	2021-04-03 08:00:00	-3028.6858524718755	0.04	-3028.6858524718755	0.04	0	0	
2217	2021-04-03 09:00:00	-4265.073371671875	0.06	-4265.073371671875	0.06	0	0	
2218	2021-04-03 10:00:00	-4934.930638721876	0.06	-4934.930638721876	0.06	0	0	
2219	2021-04-03 11:00:00	-5512.094168171877	0.06	-5512.094168171877	0.06	0	0	
