simulation_time	physical_time	PV_field_1.LVE.energy	PV_field_1.LVE.money	PV_field_2.LVE.energy	PV_field_2.LVE.money	WT_field_1.LVE.energy	WT_field_1.LVE.money	
73	2021-01-04 01:00:00	0	0	0	0	0	0	
74	2021-01-04 02:00:00	0	0	0	0	0	0	
75	2021-01-04 03:00:00	0	0	0	0	0	0	
76	2021-01-04 04:00:00	0	0	0	0	0	0	
77	2021-01-04 05:00:00	0	0	0	0	0	0	
78	2021-01-04 06:00:00	0	0	0	0	0	0	
79	2021-01-04 07:00:00	0	0	0	0	0	0	
80	2021-01-04 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	0	0	
81	2021-01-04 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	0	0	
82	2021-01-04 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	0	0	
83	2021-01-04 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	0	0	
84	2021-01-04 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	0	0	
85	2021-01-04 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	0	0	
86	2021-01-04 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	0	0	
87	2021-01-04 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	0	0	
88	2021-01-04 16:00:00	-523.2032336	0.06	-523.2032336	0.06	0	0	
89	2021-01-04 17:00:00	0	0	0	0	0	0	
90	2021-01-04 18:00:00	0	0	0	0	0	0	
91	2021-01-04 19:00:00	0	0	0	0	0	0	
92	2021-01-04 20:00:00	0	0	0	0	0	0	
93	2021-01-04 21:00:00	0	0	0	0	0	0	
94	2021-01-04 22:00:00	0	0	0	0	0	0	
95	2021-01-04 23:00:00	0	0	0	0	0	0	
96	2021-01-05 00:00:00	0	0	0	0	0	0	
97	2021-01-05 01:00:00	0	0	0	0	0	0	
98	2021-01-05 02:00:00	0	0	0	0	0	0	
99	2021-01-05 03:00:00	0	0	0	0	-1.416281233138079	0.06	
100	2021-01-05 04:00:00	0	0	0	0	-6.264276055909116	0.06	
101	2021-01-05 05:00:00	0	0	0	0	-13.700516961107061	0.04	
102	2021-01-05 06:00:00	0	0	0	0	-27.49603449015993	0.04	
103	2021-01-05 07:00:00	0	0	0	0	-47.41718097169664	0.04	
104	2021-01-05 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	-76.8712823699057	0.04	
105	2021-01-05 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	-120.95400092685789	0.06	
106	2021-01-05 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	-181.9566351574675	0.06	
107	2021-01-05 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	-264.48026378232544	0.06	
108	2021-01-05 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	-336.19930176270134	0.06	
109	2021-01-05 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	-422.5483849606427	0.06	
110	2021-01-05 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	-521.0381775808191	0.06	
111	2021-01-05 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	-754.5365363928636	0.06	
112	2021-01-05 16:00:00	-523.2032336	0.06	-523.2032336	0.06	-1058.7684080024992	0.06	
113	2021-01-05 17:00:00	0	0	0	0	-1455.8832467475754	0.04	
114	2021-01-05 18:00:00	0	0	0	0	-1660.0063634489672	0.04	
115	2021-01-05 19:00:00	0	0	0	0	-1887.1578427920615	0.04	
116	2021-01-05 20:00:00	0	0	0	0	-2139.164949832609	0.04	
117	2021-01-05 21:00:00	0	0	0	0	-1364.888394680988	0.06	
118	2021-01-05 22:00:00	0	0	0	0	-828.7246055451751	0.06	
119	2021-01-05 23:00:00	0	0	0	0	-481.68196205959066	0.06	
120	2021-01-06 00:00:00	0	0	0	0	-555.9699701416579	0.06	
121	2021-01-06 01:00:00	0	0	0	0	-639.2367171286622	0.06	
122	2021-01-06 02:00:00	0	0	0	0	-732.2942343174208	0.06	
123	2021-01-06 03:00:00	0	0	0	0	-527.3013889993897	0.06	
124	2021-01-06 04:00:00	0	0	0	0	-374.71437358485406	0.06	
125	2021-01-06 05:00:00	0	0	0	0	-256.8481836140906	0.04	
126	2021-01-06 06:00:00	0	0	0	0	-591.8116453394928	0.04	
127	2021-01-06 07:00:00	0	0	0	0	-1211.3217745339127	0.04	
128	2021-01-06 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	-2262.526560621717	0.04	
129	2021-01-06 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	-2781.018490489247	0.06	
130	2021-01-06 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	-3370.3858524976167	0.06	
131	2021-01-06 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	-4058.559786161117	0.06	
132	2021-01-06 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	-3344.8743408751657	0.06	
133	2021-01-06 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	-2720.131664288395	0.06	
134	2021-01-06 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	-2194.603262241351	0.06	
135	2021-01-06 15:00:00	-1563.414211542969	0.06	-1563.414211542969	0.06	-1646.0262037982534	0.06	
136	2021-01-06 16:00:00	-523.2032336	0.06	-523.2032336	0.06	-1216.2129219761343	0.06	
137	2021-01-06 17:00:00	0	0	0	0	-882.4559746793008	0.04	
138	2021-01-06 18:00:00	0	0	0	0	-467.79165391784534	0.04	
139	2021-01-06 19:00:00	0	0	0	0	-225.96935289253324	0.04	
140	2021-01-06 20:00:00	0	0	0	0	-95.04337224049719	0.04	
141	2021-01-06 21:00:00	0	0	0	0	-68.70065315282491	0.06	
142	2021-01-06 22:00:00	0	0	0	0	-47.37178036570936	0.06	
143	2021-01-06 23:00:00	0	0	0	0	-31.20660485080207	0.06	
144	2021-01-07 00:00:00	0	0	0	0	-27.468727913268573	0.06	
145	2021-01-07 01:00:00	0	0	0	0	-23.57426146960027	0.06	
146	2021-01-07 02:00:00	0	0	0	0	-20.475240714096596	0.06	
147	2021-01-07 03:00:00	0	0	0	0	-12.400846412585251	0.06	
148	2021-01-07 04:00:00	0	0	0	0	-6.488954658186219	0.06	
149	2021-01-07 05:00:00	0	0	0	0	-2.3069862316997773	0.04	
150	2021-01-07 06:00:00	0	0	0	0	-0.747691243690202	0.04	
151	2021-01-07 07:00:00	0	0	0	0	0	0	
152	2021-01-07 08:00:00	-194.75792416796872	0.04	-194.75792416796872	0.04	0	0	
153	2021-01-07 09:00:00	-1407.1268540875	0.06	-1407.1268540875	0.06	-3.8324360700526108	0.06	
154	2021-01-07 10:00:00	-2175.8597427218756	0.06	-2175.8597427218756	0.06	-15.053601556093469	0.06	
155	2021-01-07 11:00:00	-2724.770238555469	0.06	-2724.770238555469	0.06	-35.24302282650333	0.06	
156	2021-01-07 12:00:00	-3027.2688685117187	0.06	-3027.2688685117187	0.06	-64.81667384235874	0.06	
157	2021-01-07 13:00:00	-2646.758379321875	0.06	-2646.758379321875	0.06	-109.25275244935976	0.06	
158	2021-01-07 14:00:00	-2310.9021015242192	0.06	-2310.9021015242192	0.06	-173.55746147956606	0.06	
