old_house.LTH.energy_bought	new_house.LTH.energy_bought	office.LTH.energy_bought	incinerator.LTH.energy_sold	fast_gas_boiler.LTH.energy_sold	
373.31959920536735	203.93181777507414	539.3485830195584	116.60000000000001	1000	
378.71049594479507	206.87668156966006	531.0128224855448	116.60000000000001	1000	
380.058220129652	207.61289751830654	645.5288823520415	233.20000000000002	1000	
388.1445652387935	212.03019321018542	866.2252415510211	466.40000000000003	1000	
393.5354619782212	214.97505700477132	929.7034490264547	1166.0	372.21396800944717	
489.22387910306264	267.24638935867114	964.726524161013	1166.0	555.1967926227467	
501.353396766775	273.87233289648947	993.3817674529242	1166.0	602.6074971161888	
505.39656932134574	276.0809807424289	1193.968470496303	1166.0	809.4460205600776	
405.66497964193354	221.60100054258962	1149.3936475977746	1166.0	610.6596277822978	
353.10373643251353	192.888578545377	1025.2209266661591	1166.0	405.2132416440495	
289.7606997442382	158.28642895899256	875.5768783639556	1166.0	157.62400706718654	
241.242629089389	131.78265480771938	760.9559051963105	1133.9811890934188	0	
223.72221468624906	122.21184747531521	719.5649982191054	1065.4990603806696	0	
223.72221468624906	122.21184747531521	719.5649982191054	1065.4990603806696	0	
219.6790421316783	120.00319962937577	710.013250455135	1049.695492216189	0	
219.6790421316783	120.00319962937577	710.013250455135	1049.695492216189	0	
316.71518344137667	173.0107479319221	748.2202415110166	1166.0	71.94617288431527	
338.2787703990874	184.79020311026576	608.1279409727838	1131.196914482137	0	
370.62415083565355	202.4593858777812	684.5419230845472	1166.0	91.62545979798188	
389.49228942365045	212.76640915883186	729.1167459830757	1166.0	165.37544456555815	
405.66497964193354	221.60100054258962	767.3237370389576	1166.0	228.58971722348087	
411.0558763813612	224.54586433717552	780.0594007242514	1166.0	249.661141442788	
342.32194295365815	186.99885095620516	808.7146440161627	1166.0	172.03543792602613	
377.36277175993814	206.1404656210136	891.496457970573	1166.0	308.9996953515247	
377.36277175993814	206.1404656210136	891.496457970573	1166.0	308.9996953515247	
